6b5cA02 1.10.8.60.22 A.198-283
2pvqA02 1.20.1050.10.50 A.83-188
3lxzB02 1.20.1050.10.51 B.81-218
3ubkB02 1.20.1050.10.52 B.83-213
5h5lB02 1.20.1050.10.53 B.76-186
4pxoA02 1.20.1050.10.54 A.107-237
6jwkA02 1.20.1050.10.55 A.84-212
2hnlA02 1.20.1050.10.56 A.100-209
4knfC00 1.20.1070.10.16 C.22-254
3oduB01 1.20.1070.10.17 B.38-240,404-477
4k5yA01 1.20.1070.10.18 A.13-119,279-423
2o9gA00 1.20.1080.10.5 A.1-233
4qgsA02 1.20.1090.10.6 A.195-398
6c7lA02 1.20.1090.10.7 A.184-378
2ld7B00 1.20.1160.11.1 B.1-75
4e6uA02 1.20.1180.10.1 A.199-265
3ci3A01 1.20.1200.10.1 A.18-194
1hulA00 1.20.1250.10.30 A.1-108
1i1rB00 1.20.1250.10.31 B.6-172
3d48P00 1.20.1250.10.32 P.2-187
1lqsL01 1.20.1250.10.33 L.15-114
2l3oA00 1.20.1250.10.34 A.4-127
4zw9A00 1.20.1250.20.1 A.23-492
5oxoA00 1.20.1250.20.2 A.5-478
1j30A00 1.20.1260.10.32 A.3-143
5ux1D00 1.20.1260.10.33 D.25-221
3a9qE00 1.20.1260.10.34 E.30-207
3ezuA01 1.20.1260.10.35 A.1-183
5uwzA01 1.20.1260.10.36 A.15-229
3fseB02 1.20.1260.10.37 B.208-351
2vzbB00 1.20.1260.10.38 B.2-168
3kwoA00 1.20.1260.10.39 A.2-150
3qweA00 1.20.1270.60.13 A.2-274
2v0oB00 1.20.1270.60.14 B.5-275
3dytA02 1.20.1270.60.15 A.176-365
4wpeA00 1.20.1270.60.16 A.7-281
1i4dA00 1.20.1270.60.17 A.2-201
4fzsA00 1.20.1270.60.18 A.7-215
3pltA00 1.20.1270.60.19 A.18-231
2c08A00 1.20.1270.60.20 A.1-204
3hl8A03 1.20.1280.70.1 A.359-420
1xl3C00 1.20.1280.80.1 C.2-92
2b8iA00 1.20.1280.100.1 A.1-77
3tjyA00 1.20.1280.110.1 A.1-78
3e4wA01 1.20.1280.120.1 A.11-37,113-159,292-313
2ouwB00 1.20.1290.10.5 B.1-136
2cwqA00 1.20.1290.10.6 A.12-137
4ysxC00 1.20.1300.10.6 C.34-186
4a64A02 1.20.1310.10.7 A.133-249
3dplC01 1.20.1310.10.8 C.4-122
4yzwA01 1.20.1370.10.4 A.10-165
1sj7C00 1.20.1420.10.5 C.8-173
3q8dA02 1.20.1440.120.2 A.79-232
4nv5B01 1.20.1440.130.1 B.13-182
2ip6A00 1.20.1440.140.1 A.7-93
2zrrA00 1.20.1440.140.2 A.30-112
2e8gA01 1.20.1440.150.1 A.1-124
4q4hB01 1.20.1560.10.4 B.10-343
5azpB01 1.20.1600.10.1 B.1-79,119-289,332-450
4hnmA00 1.25.10.10.41 A.1-489
4l7mA00 1.25.10.10.42 A.8-268
3bwtA00 1.25.10.10.43 A.1-333
1xqrA00 1.25.10.10.44 A.21-287
4k92A00 1.25.10.10.45 A.17-259
3c2gB01 1.25.10.10.46 B.2-551
2w3cA01 1.25.10.10.47 A.3-290
4i2zA02 1.25.10.10.48 A.134-501
3qmlD00 1.25.10.10.49 D.19-300
5aarA00 1.25.40.20.14 A.1-185
1bd8A00 1.25.40.20.15 A.1-156
1yyhB00 1.25.40.20.16 B.55-243
3q9nD00 1.25.40.20.17 D.1-158
4b93B00 1.25.40.20.18 B.7-237
1n0rA00 1.25.40.20.19 A.1-126
1dcqA02 1.25.40.20.20 A.122-278
3t9kA02 1.25.40.20.21 A.197-353
2rfaA00 1.25.40.20.22 A.2-223
4zhbA00 1.25.40.20.23 A.11-114
4uucA00 1.25.40.20.24 A.5-225
2vgeA00 1.25.40.20.25 A.10-217
1n0qB00 1.25.40.20.26 B.1-93
3utmA02 1.25.40.20.27 A.199-329
6iybB00 1.25.40.20.28 B.6-140
5ja4D00 1.25.40.20.29 D.10-158
6ghmC01 1.25.40.20.30 C.6-139
1s70B01 1.25.40.20.31 B.1-162
4cymD00 1.25.40.20.32 D.9-175
5yayA00 1.25.40.20.33 A.9-252
1k1aA00 1.25.40.20.34 A.7-234
5u0iB00 1.25.40.20.35 B.24-116
1uohA00 1.25.40.20.36 A.4-226
5eidA00 1.25.40.20.37 A.46-168
1ympA00 1.25.40.20.38 A.4-134
3eu9C00 1.25.40.20.39 C.11-236
2f37A00 1.25.40.20.40 A.3-250
3ehrA02 1.25.40.20.41 A.75-190
1iknD00 1.25.40.20.42 D.7-227
6d66B00 1.25.40.20.43 B.12-136
2dznA00 1.25.40.20.44 A.3-228
4bszB00 1.25.40.20.45 B.9-158
4besA02 1.25.40.20.46 A.351-483
2zgdA00 1.25.40.20.47 A.5-110
5y4eA00 1.25.40.20.48 A.27-273
1s70B02 1.25.40.20.49 B.163-291
1sw6A00 1.25.40.20.50 A.25-325
1wdyA00 1.25.40.20.51 A.1-285
3b7bB00 1.25.40.20.52 B.13-236
4qfvC02 1.25.40.20.53 C.166-230
2f8xK00 1.25.40.20.54 K.13-249
3keaA00 1.25.40.20.55 A.1-283
4qhpA05 1.25.50.10.3 A.544-870
4j5tA02 1.50.10.10.39 A.317-811
1wzzA00 1.50.10.10.40 A.15-333
1h54A02 1.50.10.10.41 A.317-683
2okxA05 1.50.10.10.42 A.543-876
3renA00 1.50.10.10.43 A.14-350
1ut9A02 1.50.10.10.44 A.99-609
5agdA00 1.50.10.20.1 A.26-362
1gxmB00 1.50.10.20.2 B.1-332
4v1sA00 1.50.10.20.3 A.37-395
3m7pA02 2.10.10.10.5 A.49-106
1goiB03 2.10.10.20.1 B.449-499
1yo8A01 2.10.25.10.39 A.4-50
1kloA02 2.10.25.10.40 A.54-109
3asiA02 2.10.25.10.41 A.183-224
1nqlB00 2.10.25.10.42 B.3-50
1szbA02 2.10.25.10.43 A.126-168
5e8dA00 2.10.25.10.44 A.32-74
1dx5I03 2.10.25.10.45 I.79-118
2p28B04 2.10.25.10.46 B.180-217
2dduA02 2.10.25.10.47 A.192-226
1yukB02 2.10.25.10.48 B.79-109
2uwiA02 2.10.50.10.15 A.85-128
3u3pA01 2.10.50.10.16 A.10-92
4kgqD02 2.10.50.10.17 D.87-166
1tgxA00 2.10.60.10.10 A.1-60
2h62C00 2.10.60.10.11 C.34-117
1bteA00 2.10.60.10.12 A.2-97
2xrbA04 2.10.70.10.29 A.230-290
1zjkA01 2.10.70.10.30 A.13-80
2b5iD01 2.10.70.10.31 D.1-22,121-165
3ix0B01 2.10.70.10.32 B.1-52
2wiiC02 2.10.70.10.33 C.71-131
1qubA01 2.10.70.10.34 A.1-62
1qubA03 2.10.70.10.35 A.122-183
4ln6A01 2.10.77.10.4 A.5-50,267-320
4efvA00 2.10.90.10.10 A.9-116
2gnnB00 2.10.90.10.11 B.9-103
5n92A00 2.10.90.10.12 A.16-130
6a2qA00 2.10.109.10.4 A.21-118
1wyhA00 2.10.110.10.13 A.1-72
1x4lA00 2.10.110.10.14 A.1-72
1x61A00 2.10.110.10.15 A.1-72
1m6bA04 2.10.220.10.6 A.481-580
1m6bB04 2.10.220.10.7 B.514-611
5itmA00 2.10.260.10.1 A.2-48
2v05A02 2.10.270.10.7 A.129-310
3if4A01 2.20.20.40.1 A.23-72
2jr3A00 2.20.20.60.1 A.1-42
1vq8Z00 2.20.25.30.1 Z.1-73
3cc2Z00 2.20.25.30.2 Z.34-106
1vq8100 2.20.25.30.3 1.2-57
3o58d00 2.20.25.30.4 d.2-73
3o58g00 2.20.25.30.5 g.10-92
2aydA01 2.20.25.80.1 A.1-67
5w3xD01 2.20.25.80.2 D.4-72
2e7zA01 2.20.25.90.1 A.1-57
2napA01 2.20.25.90.2 A.4-61
3pl5A02 2.20.28.50.2 A.62-98
3jr7A02 2.20.28.50.3 A.46-83
1pzxA02 2.20.28.50.4 A.30-64
4jadA01 2.20.28.60.1 A.1-49
1o6wA02 2.20.70.10.16 A.43-75
2ysgA01 2.20.70.10.17 A.8-40
2kxqA02 2.20.70.10.18 A.46-87
1tk7A02 2.20.70.10.19 A.55-83
3hrzB01 2.20.130.20.1 B.5-80
3eo5A01 2.20.230.10.1 A.1-29,30-88
4nswA02 2.30.29.30.72 A.261-369
1mixA02 2.30.29.30.73 A.114-206
5uklA05 2.30.29.30.74 A.525-631
4chjA00 2.30.29.30.75 A.12-150
1ntvA00 2.30.29.30.76 A.1-152
1dbhA02 2.30.29.30.77 A.226-353
2w2xC00 2.30.29.30.78 C.13-121
6hhjA01 2.30.29.30.79 A.3-113
3au4A04 2.30.29.30.80 A.451-543
3qwmA00 2.30.29.30.81 A.10-139
1qqgA01 2.30.29.30.82 A.9-111
2aehA03 2.30.29.30.83 A.223-333
1t77A01 2.30.29.30.84 A.1-105
3tfmA02 2.30.29.30.85 A.57-165
4kvgB02 2.30.29.30.86 B.91-260
1btkA00 2.30.29.30.87 A.1-169
3d8dA00 2.30.29.30.88 A.1-141
2dfkC02 2.30.29.30.89 C.248-388
1fx7B03 2.30.30.90.3 B.151-230
4o5vA03 2.30.30.90.4 A.162-237
3e19B01 2.30.30.90.5 B.14-77
3hrsA02 2.30.30.90.6 A.139-214
2k5iA02 2.30.30.90.7 A.77-154
2k5lA00 2.30.30.90.8 A.1-81
2k5fA01 2.30.30.90.9 A.1-83
2lx9A00 2.30.30.90.10 A.1-83
1bymA00 2.30.30.90.11 A.1-97
2ylbC00 2.30.30.100.1 C.6-73
2vc8A00 2.30.30.100.2 A.5-76
5szdC00 2.30.30.100.3 C.2-72
3hfoB00 2.30.30.100.4 B.5-70
1mgqF00 2.30.30.100.5 F.14-83
1i8fA00 2.30.30.100.6 A.10-80
1kq1H00 2.30.30.100.7 H.1-66
4x9cD00 2.30.30.100.8 D.12-71
4f7uF00 2.30.30.100.9 F.4-76
1d3bC00 2.30.30.100.10 C.5-75
4f7uG00 2.30.30.100.11 G.7-74
1ljoA00 2.30.30.100.12 A.1-75
1m5q101 2.30.30.100.13 1.1-68
4f7uE00 2.30.30.100.14 E.13-90
4f7uB00 2.30.30.100.15 B.22-114
4f7uC00 2.30.30.100.16 C.2-82
3fb9B00 2.30.30.100.17 B.1-90
2e10A02 2.30.30.100.18 A.188-235
4emkA00 2.30.30.100.19 A.20-91
3pggA00 2.30.30.100.20 A.25-113
1d3bB00 2.30.30.100.21 B.7-87
4c92G00 2.30.30.100.22 G.26-110
1y96D00 2.30.30.100.23 D.3-85
4c92F00 2.30.30.100.24 F.10-86
1b34B00 2.30.30.100.25 B.26-118
2ra2B00 2.30.30.100.26 B.2-59
4c92C00 2.30.30.100.27 C.1-79
1y96A00 2.30.30.100.28 A.1-86
3by7E00 2.30.30.100.29 E.4-86
6f9wA00 2.30.30.100.30 A.8-81
4m78N00 2.30.30.100.31 N.1-87
4emhA00 2.30.30.100.32 A.26-85
4m7dA00 2.30.30.100.33 A.3-67
1n9rB00 2.30.30.100.34 B.25-93
2eayB02 2.30.30.100.35 B.185-233
2i2lB02 2.30.30.100.36 B.54-124
4m75F00 2.30.30.100.37 F.16-105
2ej9A02 2.30.30.100.38 A.189-237
3cm1C00 2.30.31.20.1 C.3-138
2d1sA01 2.30.38.10.1 A.7-15,361-439
3le2A02 2.30.39.10.16 A.179-279,358-387
1a7cA02 2.30.39.10.17 A.171-280,326-349
4au2B02 2.30.39.10.18 B.177-273,343-377
3nddA02 2.30.39.10.19 A.180-274
2vunA01 2.30.40.10.20 A.2-61,320-386
3nqbA01 2.30.40.10.21 A.12-89,336-373
1rk6A01 2.30.40.10.22 A.20-73,433-446,465-483
4cqbA01 2.30.40.10.23 A.22-75,377-423
1gkpA01 2.30.40.10.24 A.1-52,388-395,423-443
4ghnA02 2.30.42.10.49 A.93-197
2iwqA00 2.30.42.10.50 A.23-123
1w9eA01 2.30.42.10.51 A.3-87
3bpuA00 2.30.42.10.52 A.1-88
6akqA02 2.30.42.10.53 A.95-189
4oeoA00 2.30.42.10.54 A.4-97
1fc6A02 2.30.42.10.55 A.85-176
5zysA00 2.30.42.10.56 A.7-96
2egoB00 2.30.42.10.57 B.2-96
3b76A00 2.30.42.10.58 A.18-118
1k32A04 2.30.42.10.59 A.735-829
4q2nD00 2.30.42.10.60 D.1-103
3k50A02 2.30.42.10.61 A.68-172
3hnxA00 2.30.60.10.2 A.3-110
2htdB00 2.30.110.10.35 B.17-140
2nr4A01 2.30.110.10.36 A.20-153
1xhnA01 2.30.110.10.37 A.17-182
2fg9A01 2.30.110.10.38 A.14-176
5bncB01 2.30.110.10.39 B.11-159
3in6B00 2.30.110.10.40 B.1-147
3nfwA00 2.30.110.10.41 A.25-203
2i51B00 2.30.110.10.42 B.1-195
4q1tA02 2.30.130.10.13 A.274-376
3vseA01 2.30.130.10.14 A.1-69
2b78A01 2.30.130.10.15 A.1-66
1iy9A02 2.30.140.10.9 A.1-52
4a17T00 2.30.170.20.4 T.2-62
5c5oA02 2.40.10.10.93 A.15-99
2r0lA02 2.40.10.10.94 A.13-112,227-239
3qzrA02 2.40.10.10.95 A.19-87
5c2zA01 2.40.10.10.96 A.8-46,143-225
6ieoA01 2.40.10.10.97 A.4-97
4xdeA02 2.40.10.10.98 A.15-114,232-248
4dgjA01 2.40.10.10.99 A.1-12,111-224
1lvbA01 2.40.10.10.100 A.15-24,106-188,214-228
1fiwA02 2.40.10.10.101 A.13-119,239-251
1agjA01 2.40.10.10.102 A.1-46,142-229
3f1sB03 2.40.10.10.103 B.156-277
3tjoA01 2.40.10.10.104 A.21-126
2fp7B02 2.40.10.10.105 B.71-155
5m3oA02 2.40.10.10.106 A.111-203
5hmaA02 2.40.10.10.107 A.88-191
3d23C01 2.40.10.10.108 C.4-16,102-199
4xdeA01 2.40.10.10.109 A.8-14,115-231
4agkA02 2.40.10.10.110 A.73-158
1orfA02 2.40.10.10.111 A.13-104,220-232
2qf0B02 2.40.10.10.112 B.129-239
1te0A01 2.40.10.10.113 A.1-97
2bhgA01 2.40.10.10.114 A.8-99
2qy0D02 2.40.10.10.115 D.13-112,229-240
3gdvC01 2.40.10.10.116 C.27-130,223-239
5fwsA01 2.40.20.10.5 A.41-123
5an9A02 2.40.30.10.59 A.44-82,207-224,274-398
1tvcA01 2.40.30.10.60 A.1-109
1d1nA00 2.40.30.10.61 A.1-99
1vw3C01 2.40.30.10.62 C.21-88,156-174,226-269
3ju4A03 2.40.30.20.1 A.184-270
2ck3A01 2.40.30.20.2 A.24-93
3a35A01 2.40.30.20.3 A.1-92
3a35A02 2.40.30.20.4 A.93-184
4g6iB01 2.40.30.20.5 B.1-93
1i8dC02 2.40.30.20.6 C.102-199
1i8dA01 2.40.30.20.7 A.1-89
4g6iC02 2.40.30.20.8 C.106-199
3vr6A01 2.40.30.20.9 A.7-78
3oaaA01 2.40.30.20.10 A.24-93
2wssA01 2.40.30.20.11 A.1-93
3qtgA02 2.40.33.10.4 A.84-177
2yxxA01 2.40.37.10.9 A.2-19,249-373
3n29B01 2.40.37.10.10 B.42-50,277-418
7odcA01 2.40.37.10.11 A.2-47,280-418
1uheA00 2.40.40.20.5 A.1-97
5b6cA01 2.40.40.20.6 A.1-89
1g8kA04 2.40.40.20.7 A.683-817
5t5iD00 2.40.40.20.8 D.1-130
1wocC00 2.40.50.140.34 C.1-100
4oxpA01 2.40.50.140.35 A.56-196
3go5A02 2.40.50.140.36 A.72-150
3kdfA00 2.40.50.140.37 A.2-116
3ayhB02 2.40.50.140.38 B.80-203
3afpA00 2.40.50.140.39 A.3-120
1jb7A02 2.40.50.140.40 A.211-326
3k7uC00 2.40.50.140.41 C.5-118
4apvA00 2.40.50.140.42 A.2-102
2cwpA00 2.40.50.140.43 A.4-112
3kdfB00 2.40.50.140.44 B.5-131
2rhsD02 2.40.50.140.45 D.39-160
3fp9A02 2.40.50.140.46 A.60-151
1c9oA00 2.40.50.140.47 A.1-66
2q2tA03 2.40.50.140.48 A.209-314
2vw9B00 2.40.50.140.49 B.1-106
1x6oA02 2.40.50.140.50 A.95-173
3kojB00 2.40.50.140.51 B.7-108
2hqlA01 2.40.50.140.52 A.7-97
3ulpD00 2.40.50.140.53 D.1-118
4owwB00 2.40.50.140.54 B.5-111
3ullB00 2.40.50.140.55 B.10-125
2asbA01 2.40.50.140.56 A.4-78
3mxnB00 2.40.50.140.57 B.20-150
5zg8A01 2.40.50.140.58 A.1-102
3u4zA00 2.40.50.140.59 A.1-109
1luzA00 2.40.50.140.60 A.4-88
5ytxA00 2.40.50.140.61 A.5-82
3bzcA05 2.40.50.140.62 A.635-730
2vqeQ00 2.40.50.140.63 Q.2-105
4joiC00 2.40.50.140.64 C.1-118
4dkaC00 2.40.50.140.65 C.4-104
3go5A03 2.40.50.140.66 A.153-222
1fguB01 2.40.50.140.67 B.4-108
1t9hA01 2.40.50.140.68 A.2-74
3i4oA00 2.40.50.140.69 A.12-79
3d0fA01 2.40.50.140.70 A.34-106
1a62A02 2.40.50.140.71 A.48-117
3f2bA01 2.40.50.140.72 A.7-102
1vs0A03 2.40.50.140.73 A.190-310
4hikA00 2.40.50.140.74 A.4-141
3f8tA02 2.40.50.140.75 A.102-181
5gqoB00 2.40.50.140.76 B.24-138
1a0iA02 2.40.50.140.77 A.240-348
1u5kA01 2.40.50.140.78 A.2-84
3kf6A00 2.40.50.140.79 A.16-154
3k8aB00 2.40.50.140.80 B.1-103
1yg9A03 2.40.70.10.17 A.194-310
1dpjA02 2.40.70.10.18 A.175-328
3k1wA01 2.40.70.10.19 A.7-181
1pfzB01 2.40.70.10.20 B.66-226
3vlaA01 2.40.70.10.21 A.2-196
3bo7A00 2.40.100.10.8 A.5-176
3oepA02 2.40.100.10.9 A.76-208
4kcfA02 2.40.110.10.10 A.156-266
2rfqA02 2.40.110.10.11 A.115-209
6aueA00 2.40.128.30.7 A.13-133
4bboA00 2.40.128.30.8 A.1-113
2c4iA01 2.40.128.30.9 A.2-132
2jgsB00 2.40.128.30.10 B.1-130
4ggtB00 2.40.128.30.11 B.10-115
4bj8K00 2.40.128.30.12 K.3-122
5cybA00 2.40.128.50.1 A.64-152
1ei5A02 2.40.128.50.2 A.337-418
1ei5A03 2.40.128.50.3 A.419-520
4oelA01 2.40.128.80.1 A.1-117
2x55A00 2.40.128.90.1 A.4-293
2vdfA00 2.40.128.100.1 A.7-253
5ixgA00 2.40.128.110.1 A.2-169
2x32A00 2.40.128.110.2 A.6-179
3q34B00 2.40.128.110.3 B.4-176
1wubA00 2.40.128.110.4 A.1-176
1y0gA00 2.40.128.110.5 A.23-191
5w39A01 2.40.128.110.6 A.22-171
3evpA00 2.40.155.10.7 A.1-243
4zblA00 2.40.155.10.8 A.15-240
2f1cX00 2.40.160.40.1 X.4-283
2wjrA00 2.40.160.40.2 A.1-214
4fqeA00 2.40.160.40.3 A.1-217
4c00A04 2.40.160.50.1 A.246-559
4n75B00 2.40.160.50.2 B.1-385
4k3bA06 2.40.160.50.3 A.423-792
1kmoA02 2.40.170.20.3 A.256-774
1sy7A01 2.40.180.10.3 A.18-378
4h3sA02 2.40.240.10.9 A.571-697
4wfaS01 2.40.240.10.10 S.3-94
5o95D01 2.40.240.20.1 D.5-76
5cuwA00 2.40.260.10.5 A.11-194
2eenA00 2.40.320.10.4 A.2-178
5os9A00 2.40.330.10.3 A.2-116
4kkuC01 2.40.420.20.2 C.24-35,213-296
6d4kA02 2.40.440.10.1 A.116-261
3bk5A00 2.50.20.10.9 A.2-237
2e5yA01 2.60.15.10.1 A.1-88
3hzbC00 2.60.20.10.9 C.1-88
1ytqA01 2.60.20.10.10 A.16-101
4jnfA01 2.60.34.10.2 A.1-132
1hxmA01 2.60.40.10.758 A.1-121
1bihA04 2.60.40.10.759 A.308-395
3es6B00 2.60.40.10.760 B.1-118
3g9vA02 2.60.40.10.761 A.108-205
4hwuA00 2.60.40.10.762 A.8-88
5fm5M00 2.60.40.10.763 M.2-124
4bfiB02 2.60.40.10.764 B.114-203
1hxmB01 2.60.40.10.765 B.1-125
3v9fA03 2.60.40.10.766 A.656-776
1mh5B02 2.60.40.10.767 B.120-187
4frwA02 2.60.40.10.768 A.120-215
4kc3B01 2.60.40.10.769 B.3-94
1bf2A01 2.60.40.10.770 A.1-162
4k3dH01 2.60.40.10.771 H.2-169
2ifgA02 2.60.40.10.772 A.158-247
1cidA02 2.60.40.10.773 A.107-177
3e0gA01 2.60.40.10.774 A.1-84
3e0gA03 2.60.40.10.775 A.201-280
1ej6A05 2.60.40.10.776 A.1027-1121
4q66D02 2.60.40.10.777 D.81-170
1ypzF01 2.60.40.10.778 F.1-123
2y1vA01 2.60.40.10.779 A.1-159
4im8A02 2.60.40.10.780 A.99-190
4j7rB01 2.60.40.10.781 B.43-203
2j3sA03 2.60.40.10.782 A.130-191
2giyB00 2.60.40.10.783 B.8-185
4go6B01 2.60.40.10.784 B.8-85
1evuA01 2.60.40.10.785 A.8-192
3gbnL02 2.60.40.10.786 L.133-203
4ofdB02 2.60.40.10.787 B.109-207
4nn7C02 2.60.40.10.788 C.99-187
2uzyB03 2.60.40.10.789 B.541-633
2uzyB04 2.60.40.10.790 B.634-720
1ktkF02 2.60.40.10.791 F.125-241
2y1vA04 2.60.40.10.792 A.419-603
3tvmE02 2.60.40.10.793 E.192-249
2cumA00 2.60.40.10.794 A.1-105
2ds4A01 2.60.40.10.795 A.7-111
2ed9A01 2.60.40.10.796 A.20-124
2ee6A00 2.60.40.10.797 A.1-105
2ekjA00 2.60.40.10.798 A.1-105
2mqcA00 2.60.40.10.799 A.1-105
1bpvA00 2.60.40.10.800 A.9-112
1wfoA01 2.60.40.10.801 A.27-130
2enyA00 2.60.40.10.802 A.1-104
1x4xA00 2.60.40.10.803 A.1-106
2dltA00 2.60.40.10.804 A.1-106
2eebA00 2.60.40.10.805 A.1-106
2kutA01 2.60.40.10.806 A.4-109
2n1kA00 2.60.40.10.807 A.1-106
2dmkA01 2.60.40.10.808 A.15-117
2e7mA01 2.60.40.10.809 A.11-113
2edyA00 2.60.40.10.810 A.1-103
2ys4A01 2.60.40.10.811 A.20-122
2di7A01 2.60.40.10.812 A.13-119
2dn7A00 2.60.40.10.813 A.1-107
2cryA01 2.60.40.10.814 A.11-112
2eo1A00 2.60.40.10.815 A.1-102
2ee3A00 2.60.40.10.816 A.1-108
2lqrA00 2.60.40.10.817 A.1-108
2yuxA01 2.60.40.10.818 A.13-120
1wisA01 2.60.40.10.819 A.17-117
2edkA00 2.60.40.10.820 A.1-101
1x5xA00 2.60.40.10.821 A.1-109
2dbjA01 2.60.40.10.822 A.16-124
1x4zA01 2.60.40.10.823 A.15-114
2e7cA01 2.60.40.10.824 A.19-118
2kdgA00 2.60.40.10.825 A.1-100
2crzA00 2.60.40.10.826 A.1-110
2db8A00 2.60.40.10.827 A.1-110
1f3rB02 2.60.40.10.828 B.124-222
1wgoA01 2.60.40.10.829 A.25-123
1nctA00 2.60.40.10.830 A.9-106
2cspA01 2.60.40.10.831 A.21-118
2yuwA01 2.60.40.10.832 A.6-103
2e6jA00 2.60.40.10.833 A.1-112
2e6qA00 2.60.40.10.834 A.1-112
2dibA01 2.60.40.10.835 A.20-116
2cqvA00 2.60.40.10.836 A.1-114
2l0dA00 2.60.40.10.837 A.1-114
1wfuA01 2.60.40.10.838 A.18-112
2h41A00 2.60.40.10.839 A.1-95
2k1mA00 2.60.40.10.840 A.1-95
1ehxA00 2.60.40.10.841 A.1-94
1j8kA00 2.60.40.10.842 A.1-94
2dm4A01 2.60.40.10.843 A.7-100
6mg9A00 2.60.40.10.844 A.1-94
1owwA00 2.60.40.10.845 A.6-98
1witA00 2.60.40.10.846 A.1-93
1wj3A01 2.60.40.10.847 A.16-108
1x5aA01 2.60.40.10.848 A.11-101
1wk0A01 2.60.40.10.849 A.1-119
2ed7A00 2.60.40.10.850 A.1-119
1jbjA01 2.60.40.10.851 A.1-89
1q38A00 2.60.40.10.852 A.1-89
2dkuA01 2.60.40.10.853 A.8-96
1k85A00 2.60.40.10.854 A.1-88
1wfnA01 2.60.40.10.855 A.23-110
2cuhA01 2.60.40.10.856 A.9-96
1va9A00 2.60.40.10.857 A.1-122
1wicA01 2.60.40.10.858 A.13-134
2cpcA01 2.60.40.10.859 A.13-99
2ee2A01 2.60.40.10.860 A.24-110
2dleA01 2.60.40.10.861 A.9-94
2dmbA00 2.60.40.10.862 A.1-124
2yrlA01 2.60.40.10.863 A.13-95
2lu7A00 2.60.40.10.864 A.3-84
1b4rA00 2.60.40.10.865 A.1-80
1gxeA00 2.60.40.10.866 A.10-139
2crmA01 2.60.40.10.867 A.24-102
2k7qA02 2.60.40.10.868 A.19-96
2kpnA01 2.60.40.10.869 A.10-86
4qycA01 2.60.40.10.870 A.3-134
3lohE04 2.60.40.10.871 E.474-590
1ti2B03 2.60.40.10.872 B.191-274
3lohE05 2.60.40.10.873 E.598-805
1ok0A00 2.60.40.20.1 A.1-74
2kerA00 2.60.40.20.2 A.1-78
3zzsA00 2.60.40.50.1 A.1-65
3mvsA01 2.60.40.60.1 A.1-102
3mvsA02 2.60.40.60.2 A.103-210
3k6iA00 2.60.40.60.3 A.1-99
2omzB00 2.60.40.60.4 B.1-105
4zi9A03 2.60.40.60.5 A.208-311
4zmyA02 2.60.40.60.6 A.103-214
4zi8B01 2.60.40.60.7 B.12-118
4zi8A02 2.60.40.60.8 A.119-226
6cgsA01 2.60.40.60.9 A.1-99
4zi9A01 2.60.40.60.10 A.3-99
5wj8A01 2.60.40.60.11 A.4-105
5wj8A02 2.60.40.60.12 A.106-213
2x2uA02 2.60.40.60.13 A.128-235
5tpkA01 2.60.40.60.14 A.3-104
4apxB02 2.60.40.60.15 B.121-238
5tpkA02 2.60.40.60.16 A.105-210
3ppeA02 2.60.40.60.17 A.98-203
5cyxA03 2.60.40.60.18 A.217-325
2x2uA01 2.60.40.60.19 A.1-123
5dzwA04 2.60.40.60.20 A.316-417
5cyxA02 2.60.40.60.21 A.99-216
3ubfA02 2.60.40.60.22 A.98-210
5co1B02 2.60.40.60.23 B.106-211
3ubfA03 2.60.40.60.24 A.211-312
5t4nB03 2.60.40.60.25 B.244-348
3ubgB01 2.60.40.60.26 B.2-97
5dzxA03 2.60.40.60.27 A.208-312
5i8dA01 2.60.40.60.28 A.5-116
4ak1A03 2.60.40.60.29 A.231-332
5wjmA01 2.60.40.60.30 A.2-107
6bx7A03 2.60.40.60.31 A.218-325
5vt8C01 2.60.40.60.32 C.2-102
6bx7A02 2.60.40.60.33 A.108-217
1l3wA04 2.60.40.60.34 A.334-439
1l3wA05 2.60.40.60.35 A.440-546
5sznA05 2.60.40.60.36 A.418-529
3q2wA05 2.60.40.60.37 A.442-542
1l3wA03 2.60.40.60.38 A.220-333
5kj4C02 2.60.40.60.39 C.113-222
5kj4A01 2.60.40.60.40 A.1-112
5tflB02 2.60.40.60.41 B.108-219
1op4A01 2.60.40.60.42 A.34-122
2yqgA00 2.60.40.60.43 A.1-123
4weeA01 2.60.40.150.1 A.18-143
6nytA00 2.60.40.150.2 A.1-147
6ewlA00 2.60.40.150.3 A.1-137
2cm5A00 2.60.40.150.4 A.7-159
3n5aA00 2.60.40.150.5 A.1-138
3twyA00 2.60.40.150.6 A.1-137
2cjtC00 2.60.40.150.7 C.5-131
1gmiA00 2.60.40.150.8 A.1-136
2bwqA00 2.60.40.150.9 A.1-129
2zkmX04 2.60.40.150.10 X.670-799
2q3xA00 2.60.40.150.11 A.1-150
3jzyA00 2.60.40.150.12 A.386-509
6btyB00 2.60.40.150.13 B.1-128
2nq3A00 2.60.40.150.14 A.31-163
1yrkA00 2.60.40.150.15 A.1-126
4y1sA00 2.60.40.150.16 A.1-126
4iqhA00 2.60.40.150.17 A.3-130
4ns0A00 2.60.40.150.18 A.5-132
2nsqA00 2.60.40.150.19 A.7-155
