3h4jA03 1.10.8.10.29 A.276-331
2c5jA00 1.20.58.90.9 A.6-92
1lrzA03 1.20.58.90.10 A.246-307
2ca5A00 1.20.58.90.11 A.20-81
2ca5B00 1.20.58.90.12 B.15-75
3tklB01 1.20.58.90.13 B.75-136
3n5lA03 1.20.58.90.14 A.251-307
3fxdB00 1.20.58.90.15 B.7-64
3ckdA03 1.20.58.90.16 A.236-302
1h7cA00 1.20.58.90.17 A.4-106
1ij5A01 1.20.58.90.18 A.1-80
3retA00 1.20.59.10.3 A.1-97
5mpvD00 1.20.59.10.4 D.11-88
3fp5A00 1.20.80.10.2 A.1-106
1r12A01 1.20.82.10.2 A.1-67,100-151
3aekB03 1.20.89.20.1 B.238-280,390-418
4c7oD01 1.20.120.140.12 D.1-64
2ffhA01 1.20.120.140.13 A.1-89,283-307
5l3qA01 1.20.120.140.14 A.30-96
1wgwA00 1.20.120.140.15 A.1-99
4driB00 1.20.120.150.1 B.1-96
4g78A00 1.20.120.160.1 A.1-147
3kyjA00 1.20.120.160.2 A.9-137
1tqgA00 1.20.120.160.3 A.1-105
2a0bA00 1.20.120.160.4 A.6-123
3iqtA01 1.20.120.160.5 A.10-123
2oocB00 1.20.120.160.6 B.9-113
1i5nD00 1.20.120.160.7 D.5-133
2r25A00 1.20.120.160.8 A.2-167
2ld6A00 1.20.120.160.9 A.1-133
1sr2A00 1.20.120.160.10 A.1-116
1y6dA00 1.20.120.160.11 A.7-120
1yarO01 1.20.120.180.1 O.10-227
1avoB00 1.20.120.180.2 B.1-140
1c17M00 1.20.120.220.1 M.1-171
4w8pA02 1.20.120.230.1 A.101-230
3rf3A02 1.20.120.230.2 A.130-258
3rf3B01 1.20.120.230.3 B.1-129
5w93A00 1.20.120.230.4 A.4-136
1qkrB00 1.20.120.230.5 B.2-186
5h5mA02 1.20.120.230.6 A.236-376
1h6gA01 1.20.120.230.7 A.12-130
4p9tA01 1.20.120.230.8 A.20-151
1sj8A02 1.20.120.230.9 A.180-301
4p9tA02 1.20.120.230.10 A.152-262
1dowA00 1.20.120.230.11 A.1-205
1yo7A00 1.20.120.230.12 A.1-120
6duwA00 1.20.120.230.13 A.22-213
1tr2A04 1.20.120.230.14 A.719-835
1u89A00 1.20.120.230.15 A.1-139
2lqgA00 1.20.120.230.16 A.1-138
2l7aA00 1.20.120.230.17 A.1-131
2b0hA01 1.20.120.230.18 A.10-137
2pg0A03 1.20.140.10.7 A.236-384
4hr3A03 1.20.140.10.8 A.259-413
2uxwA04 1.20.140.10.9 A.469-598
4p13A03 1.20.140.10.10 A.243-383
3owaB04 1.20.140.10.11 B.426-597
2rfqC03 1.20.140.10.12 C.210-393
2ikbB00 1.20.141.10.2 B.3-163
4zzzA01 1.20.142.10.2 A.10-145
1d2tA00 1.20.144.10.2 A.7-230
1gakA00 1.20.150.10.2 A.1-137
4moaA01 1.20.190.10.2 A.1-231
6n1mA02 1.20.200.10.2 A.148-415
2mp8A00 1.20.225.10.2 A.1-64
3fg1A02 1.20.245.10.2 A.119-245,379-693
2gnoA03 1.20.272.10.2 A.200-299
4ogqA00 1.20.810.10.2 A.2-215
5a0yB01 1.20.840.10.2 B.2-44,192-443
2hwnB00 1.20.890.10.3 B.1-45
2vrwB01 1.20.900.10.3 B.21-213
5o33B00 1.20.900.10.4 B.1-179
1z72A00 1.20.910.10.3 A.7-223
1n45A00 1.20.910.10.4 A.10-223
6bqaA00 1.20.920.10.7 A.1-102
5fh7A00 1.20.920.10.8 A.10-124
5pg1A00 1.20.920.10.9 A.22-136
4ybmA02 1.20.920.10.10 A.62-184
2ri7A02 1.20.920.10.11 A.64-174
2b4jC00 1.20.930.10.2 C.1-82
4nboA00 1.20.940.10.2 A.5-106
1y5iC01 1.20.950.20.2 C.2-216
4zpcA03 1.20.960.20.1 A.376-462
3h5xA04 1.20.960.20.2 A.388-488
4giuA01 1.20.970.10.2 A.24-90
1r8uB00 1.20.1020.10.2 B.1-100
3einA02 1.20.1050.10.13 A.79-208
4kh7B02 1.20.1050.10.14 B.108-225
6atrA02 1.20.1050.10.15 A.81-189
4hz2A02 1.20.1050.10.16 A.103-218
2cz2A02 1.20.1050.10.17 A.97-222
4ri6A02 1.20.1050.10.18 A.91-209
4f0bA02 1.20.1050.10.19 A.102-213
4g10A02 1.20.1050.10.20 A.84-219
4o7hB02 1.20.1050.10.21 B.78-197
2v6kA02 1.20.1050.10.22 A.85-214
5j4uA02 1.20.1050.10.23 A.100-231
1t7pA02 1.20.1060.10.2 A.227-408
5b2nA00 1.20.1070.10.5 A.9-271
3ddlB00 1.20.1070.10.6 B.5-261
4qi1A00 1.20.1070.10.7 A.11-238
1h2sA00 1.20.1070.10.8 A.1-225
5i32A00 1.20.1080.10.2 A.26-263
3w5sA02 1.20.1090.10.2 A.181-370
2zxeA02 1.20.1110.10.2 A.99-152,282-375,761-1028
5bqnA02 1.20.1120.10.2 A.459-492,545-871
5v8zC00 1.20.1150.12.2 C.2-99
2nrjA01 1.20.1170.10.2 A.10-341
3cuzA02 1.20.1220.12.2 A.411-532
4gnkE00 1.20.1230.10.2 E.1-259
2o01L01 1.20.1240.10.2 L.43-153
5lxfA00 1.20.1250.10.9 A.14-159
3s9dA00 1.20.1250.10.10 A.11-159
1eteA00 1.20.1250.10.11 A.1-134
3besL00 1.20.1250.10.12 L.1-133
1n1fA00 1.20.1250.10.13 A.4-159
5d22B00 1.20.1250.10.14 B.5-125
1exzB00 1.20.1250.10.15 B.2-141
3q4oA00 1.20.1260.10.8 A.23-191
3qhbA00 1.20.1260.10.9 A.1-179
3bt5A00 1.20.1260.10.10 A.7-159
2cf7A00 1.20.1260.10.11 A.7-165
3bvfA00 1.20.1260.10.12 A.9-180
4iwkA00 1.20.1260.10.13 A.2-160
1jigA00 1.20.1260.10.14 A.1-146
1tjoB00 1.20.1260.10.15 B.7-181
5tkyA05 1.20.1270.10.9 A.523-620
4kbqD00 1.20.1270.10.10 D.3-101
2p32A00 1.20.1270.10.11 A.13-94
1dkyB02 1.20.1270.10.12 B.136-203
3d2eA06 1.20.1270.10.13 A.524-636
1gnlA01 1.20.1270.20.1 A.1-139
1gnlA02 1.20.1270.20.2 A.140-223
4udxX01 1.20.1270.30.1 X.63-237
1n1cB02 1.20.1280.20.4 B.129-214
3bvoA02 1.20.1280.20.5 A.122-207
1mtyG02 1.20.1280.30.1 G.69-141
4icgD00 1.20.1280.40.1 D.8-75
2qeuB00 1.20.1290.10.2 B.9-141
2h88D00 1.20.1300.10.3 D.3-103
2wzkA02 1.20.1310.10.2 A.147-273
5jajA03 1.20.1320.30.1 A.232-351
3wkyB01 1.20.1370.10.1 B.8-131
3fmtB00 1.20.1380.10.2 B.1-162
6ff4Y00 1.20.1390.10.2 Y.32-126
3ay5A02 1.20.1410.10.2 A.164-360
3dyjA01 1.20.1420.10.2 A.14-179
3n98A02 1.20.1430.10.2 A.417-550
2bl8B00 1.20.1440.50.2 B.4-85
2qzgA01 1.20.1440.50.3 A.11-94
2fu2A00 1.20.1440.50.4 A.2-79
2bl7A00 1.20.1440.50.5 A.3-82
1tdpA00 1.20.1440.50.6 A.1-111
3rrkA02 1.20.1460.20.1 A.54-140,215-282
3doeB00 1.20.1520.10.2 B.21-136
4n7wA00 1.20.1530.20.1 A.1-307
4a82A01 1.20.1560.10.1 A.1-323
2vf8B05 1.20.1580.10.2 B.591-748
3f7cA00 1.20.1590.10.2 A.1-199
4dx5C05 1.20.1640.10.2 C.511-568,869-1033
1q16A10 1.20.1700.20.1 A.822-839,893-963
1jdhA00 1.25.10.10.11 A.1-529
3wyfC02 1.25.10.10.12 C.680-1040
1upkA01 1.25.10.10.13 A.10-333
3fgaB00 1.25.10.10.14 B.1-403
4cruB00 1.25.10.10.15 B.4-273
1xm9A01 1.25.10.10.16 A.1-447
4adyA02 1.25.10.10.17 A.319-767
5mfiB00 1.25.10.10.18 B.4-243
5aeiB00 1.25.10.10.19 B.4-285
3gaeA00 1.25.10.10.20 A.1-253
4gcnA00 1.25.40.10.43 A.1-127
2ho1B00 1.25.40.10.44 B.32-252
2q7fA00 1.25.40.10.45 A.42-235
3o48A01 1.25.40.10.46 A.11-128
4uqxA01 1.25.40.10.47 A.1-89
2pl2A00 1.25.40.10.48 A.4-197
4gyoB01 1.25.40.10.49 B.7-151
1hxiA00 1.25.40.10.50 A.2-113
4xi0D00 1.25.40.10.51 D.2-177
2pziB03 1.25.40.10.52 B.338-351,377-518
4ja7A01 1.25.40.10.53 A.12-138
4gywA02 1.25.40.10.54 A.111-221
3rkvA00 1.25.40.10.55 A.8-154
1p5qA02 1.25.40.10.56 A.139-304
4gyoA02 1.25.40.10.57 A.152-371
3n71A03 1.25.40.10.58 A.255-467
6evnA00 1.25.40.10.59 A.8-102
2hr2A00 1.25.40.10.60 A.3-158
4gywA01 1.25.40.10.61 A.6-110
2p58C00 1.25.40.10.62 C.4-115
1nznA00 1.25.40.10.63 A.3-124
4j8dD00 1.25.40.10.64 D.9-170
3u3wA02 1.25.40.10.65 A.72-282
4houB00 1.25.40.10.66 B.3-272
1ya0A01 1.25.40.10.67 A.1-237
3zheC01 1.25.40.10.68 C.5-193
3asdA00 1.25.40.10.69 A.40-176
3zn3A00 1.25.40.10.70 A.1-291
3kaeA00 1.25.40.10.71 A.3-242
1na3A00 1.25.40.10.72 A.6-91
2i6hA02 1.25.40.10.73 A.106-201
2ooeA01 1.25.40.10.74 A.1-190
4i1aB02 1.25.40.10.75 B.156-377
5v37A05 1.25.40.10.76 A.354-426
4rg9B01 1.25.40.10.77 B.7-173
3fflA00 1.25.40.10.78 A.21-166
2pqrA01 1.25.40.10.79 A.10-102
4gywC01 1.25.40.10.80 C.28-110
4cgvB00 1.25.40.10.81 B.9-134
1xnfA00 1.25.40.10.82 A.7-265
3qouA03 1.25.40.10.83 A.200-287
3zheD01 1.25.40.10.84 D.3-209
2yvyA01 1.25.60.10.2 A.8-132
1x9dA00 1.50.10.10.11 A.84-536
2fbaA00 1.50.10.10.12 A.1-492
4wvaB00 1.50.10.10.13 B.3-420
3wiwA00 1.50.10.10.14 A.28-398
5noaA00 1.50.10.10.15 A.28-381
1v7wA03 1.50.10.10.16 A.310-724
3w7tA03 1.50.10.10.17 A.272-456,489-760
2ahfA00 1.50.10.10.18 A.1-377
2eabA02 1.50.10.10.19 A.30-50,84-134,342-780
3k11A00 1.50.10.10.20 A.6-444
2lckA00 1.50.40.10.2 A.1-297
3m7pA03 2.10.10.10.2 A.112-165
1skzA01 2.10.22.10.2 A.7-57
1ijqA02 2.10.25.10.10 A.263-316
2bouA03 2.10.25.10.11 A.97-143
2bz6L00 2.10.25.10.12 L.1-53
5ky2B00 2.10.25.10.13 B.1-40
4d0eA01 2.10.25.10.14 A.4-45
4d0eA03 2.10.25.10.15 A.84-125
4jzeL00 2.10.25.10.16 L.1-55
1b9wA01 2.10.25.10.17 A.1-51
5l0rB00 2.10.25.10.18 B.3-42
1extA02 2.10.50.10.5 A.88-138
3wvtA02 2.10.50.10.6 A.61-106
2heyR01 2.10.50.10.7 R.10-61
2heyT02 2.10.50.10.8 T.62-142
1f94A00 2.10.60.10.3 A.1-63
2h7zA00 2.10.60.10.4 A.1-75
1ly2A02 2.10.70.10.8 A.71-129
3sw0X01 2.10.70.10.9 X.2-60
3r62A02 2.10.70.10.10 A.64-129
2ybyA01 2.10.70.10.11 A.1-65
3erbA01 2.10.70.10.12 A.3-66
2cg7A01 2.10.70.10.13 A.1-46
4c16A04 2.10.70.10.14 A.220-280
3ku3A01 2.10.77.10.1 A.1-49,271-324
5e4gA00 2.10.90.10.3 A.2-109
2h62B00 2.10.90.10.4 B.12-114
3k2zA02 2.10.109.10.1 A.78-196
6cmeA01 2.10.110.10.4 A.5-63,155-169
6cmeA02 2.10.110.10.5 A.64-154
2rgtB02 2.10.110.10.6 B.67-127
5ol4B00 2.10.150.10.2 B.1-122
3tguV00 2.10.210.10.2 V.2-75
4uv7A02 2.10.220.10.2 A.194-308
2cttA01 2.10.230.10.2 A.27-95
1hhnA00 2.10.250.10.2 A.1-101
4nc2A00 2.10.270.10.3 A.5-125
3klkA01 2.10.270.10.4 A.7-52,898-1012
1wqkA00 2.20.20.10.4 A.1-42
1bdsA00 2.20.20.10.5 A.1-43
2mn3A00 2.20.20.10.6 A.1-44
1x3zA04 2.20.25.10.9 A.118-171
1z01A03 2.20.25.10.10 A.82-136,415-442
1twfI02 2.20.25.10.11 I.47-122
2p3yA01 2.20.25.10.12 A.22-51
3d6wB02 2.20.25.10.13 B.72-110
1nuiA01 2.20.25.10.14 A.10-56
1lqlC01 2.20.25.10.15 C.21-62
3u50C02 2.20.25.10.16 C.41-75
2rblA01 2.20.25.10.17 A.3-30
4pofA03 2.20.28.10.6 A.132-181
2v3bB00 2.20.28.10.7 B.1-53
4r7yA03 2.20.28.10.8 A.141-188
3a43B02 2.20.28.10.9 B.69-123
2k2dA00 2.20.28.10.10 A.33-79
3tc5A01 2.20.70.10.4 A.10-40
5cq2A02 2.20.70.10.5 A.40-86
4u85A01 2.20.70.10.6 A.25-55
1eg3A01 2.20.70.10.7 A.2-39
1mufA01 2.20.110.10.2 A.1-113
2hzmA02 2.20.140.20.1 A.38-126
1yc9A02 2.20.200.10.2 A.71-116,285-321
3hrzC01 2.20.210.20.1 C.9-57
3pqhA01 2.20.220.20.1 A.20-79
1nh2C00 2.30.18.10.2 C.21-79
3a6mA02 2.30.22.10.2 A.115-171
1auuA00 2.30.24.10.2 A.1-55
4eo1A00 2.30.27.10.2 A.3-69
4hatB00 2.30.29.30.18 B.19-139
1ntyA02 2.30.29.30.19 A.188-311
1ddwA00 2.30.29.30.20 A.2-111
4f7uP00 2.30.29.30.21 P.1-124
1wvhA00 2.30.29.30.22 A.2-134
3so6A00 2.30.29.30.23 A.1-137
2oqbA00 2.30.29.30.24 A.1-108
1u5dA00 2.30.29.30.25 A.1-108
1maiA00 2.30.29.30.26 A.3-121
2vrwB02 2.30.29.30.27 B.214-342
5c79A00 2.30.29.30.28 A.33-136
5umsA02 2.30.29.30.29 A.156-257
6cb0B03 2.30.29.30.30 B.226-344
4ioyX02 2.30.29.30.31 X.154-268
5u78C00 2.30.29.30.32 C.3-122
4k2pD01 2.30.29.30.33 D.8-130
3ljuX02 2.30.29.30.34 X.145-255
5yi7A00 2.30.29.30.35 A.10-139
1wyxA00 2.30.30.40.9 A.2-69
1y0mA00 2.30.30.40.10 A.1-61
4j9cA00 2.30.30.40.11 A.5-62
1zuuA00 2.30.30.40.12 A.3-58
5nvjA00 2.30.30.40.13 A.1-60
2v1qA00 2.30.30.40.14 A.1-60
3m0rA00 2.30.30.40.15 A.5-62
6ipyA00 2.30.30.40.16 A.11-77
3iqlA00 2.30.30.40.17 A.6-71
2hbwA01 2.30.30.40.18 A.15-87
4esrA00 2.30.30.40.19 A.5-69
3u23A00 2.30.30.40.20 A.8-63
4cc2A00 2.30.30.40.21 A.4-67
4lnpA00 2.30.30.40.22 A.1-61
3rnjA00 2.30.30.40.23 A.1-67
1sshA00 2.30.30.40.24 A.1-60
1jo8A00 2.30.30.40.25 A.1-58
4f14A00 2.30.30.40.26 A.8-63
2j05A00 2.30.30.40.27 A.2-65
6h5tA00 2.30.30.40.28 A.1-65
1w70A00 2.30.30.40.29 A.1-60
5k26B00 2.30.30.40.30 B.6-80
1zuyA00 2.30.30.40.31 A.1-58
4r0kB01 2.30.30.40.32 B.5-75
4iioA00 2.30.30.40.33 A.2-64
5ul6A00 2.30.30.40.34 A.1-58
1xovA02 2.30.30.40.35 A.189-201,274-326
1ng2A02 2.30.30.40.36 A.68-135
1gcqC00 2.30.30.40.37 C.1-69
3tvtA01 2.30.30.40.38 A.5-75,88-97,280-286
2fpeA00 2.30.30.40.39 A.1-62
3h41A02 2.30.30.40.40 A.118-185
1pwtA00 2.30.30.40.41 A.1-61
6c4sA00 2.30.30.40.42 A.1-74
3npfA02 2.30.30.40.43 A.76-145
1yn8A00 2.30.30.40.44 A.1-59
6edfA00 2.30.30.40.45 A.1-77
4krtB03 2.30.30.40.46 B.287-353
1uj0A00 2.30.30.40.47 A.4-61
3ehrB01 2.30.30.40.48 B.12-74
1i07A00 2.30.30.40.49 A.1-59
4z88A00 2.30.30.40.50 A.9-73
2vknA00 2.30.30.40.51 A.2-67
5veiA00 2.30.30.40.52 A.31-110
1xovA03 2.30.30.40.53 A.202-273
6ghmC02 2.30.30.40.54 C.140-203
2nvnA00 2.30.31.10.3 A.3-122
4kopD00 2.30.31.10.4 D.11-164
3nx6A00 2.30.33.40.2 A.2-95
1k8kA02 2.30.36.70.2 A.35-75
4p0fA02 2.30.39.10.4 A.175-271,333-376
3b9fI02 2.30.39.10.5 I.198-292,352-395
3ndaA02 2.30.39.10.6 A.177-274,341-377
2pefA02 2.30.39.10.7 A.171-264,345-373
3mduA01 2.30.40.10.5 A.2-51,375-432
1gkpB01 2.30.40.10.6 B.1-52,382-458
1xrtB01 2.30.40.10.7 B.45-100,411-467
1onwA01 2.30.40.10.8 A.1-63,343-389
5mkvD01 2.30.40.10.9 D.3-55,429-492
4jokA00 2.30.42.10.13 A.1-87
4uu5A00 2.30.42.10.14 A.1-90
4o06A00 2.30.42.10.15 A.1-106
2gzvA01 2.30.42.10.16 A.22-109
3i4wA00 2.30.42.10.17 A.6-103
2jikB00 2.30.42.10.18 B.1-101
1n7eA00 2.30.42.10.19 A.3-97
2jilA00 2.30.42.10.20 A.1-97
3nfkA00 2.30.42.10.21 A.16-107
2zpmA00 2.30.42.10.22 A.6-91
3sfjA00 2.30.42.10.23 A.2-104
5hj1A00 2.30.42.10.24 A.4-100
4xhyA00 2.30.110.10.10 A.14-177
2d5mA00 2.30.110.10.11 A.1-186
3a6rA00 2.30.110.10.12 A.1-122
1vl7A00 2.30.110.10.13 A.23-157
2d37A00 2.30.110.10.14 A.21-175
3e4vA01 2.30.110.10.15 A.4-177
2aq6A00 2.30.110.10.16 A.5-147
5jv4A00 2.30.110.10.17 A.13-154
1uscA00 2.30.110.10.18 A.1-178
1r3eA02 2.30.130.10.4 A.222-309
4dmgA01 2.30.130.10.5 A.1-72
2apoA01 2.30.130.10.6 A.38-53,270-352
1inlC02 2.30.140.10.3 C.4-67
3c6kA02 2.30.140.10.4 A.132-187
4kn7H04 2.30.150.10.2 H.590-656
1vq8U00 2.30.170.20.1 U.4-56
2vxpA00 2.30.180.10.2 A.1-131
3vatA02 2.30.250.10.2 A.119-267
2im9A02 2.30.260.10.2 A.136-175,212-318
2re3A02 2.30.270.10.2 A.94-163
3q0bX00 2.30.280.10.2 X.1-163
3cddF01 2.30.300.10.2 F.5-97,183-205,283-347
3beuA02 2.40.10.10.24 A.13-98,212-224
3cp7A01 2.40.10.10.25 A.3-113
5yc6U02 2.40.10.10.26 U.13-119,236-246
3k6yA02 2.40.10.10.27 A.119-225
6bidA02 2.40.10.10.28 A.78-180
5uggA02 2.40.10.10.29 A.34-124,239-250
4q7zA02 2.40.10.10.30 A.13-107,220-233
4ag1A01 2.40.10.10.31 A.1-12,108-213
4ag1A02 2.40.10.10.32 A.13-107,214-226
5idkA02 2.40.10.10.33 A.16-43,147-229
5natA01 2.40.10.10.34 A.1-12,108-217
1p3cA02 2.40.10.10.35 A.18-114,203-215
2h5cA01 2.40.10.10.36 A.3-76,184-196
2ynaA01 2.40.10.10.37 A.1-14,103-200
5c5oA01 2.40.10.10.38 A.1-14,100-197
2aiqA01 2.40.10.10.39 A.1-10,109-209
1gvzA02 2.40.10.10.40 A.13-114,224-236
3cp7B02 2.40.10.10.41 B.114-218
4inkA01 2.40.10.10.42 A.3-12,106-205
2halA02 2.40.10.10.43 A.101-203
3s69A02 2.40.10.10.44 A.13-104,215-227
2o8lA01 2.40.10.10.45 A.1-14,116-216
2qa9E02 2.40.10.10.46 E.78-172
1jsgA00 2.40.15.10.2 A.4-114
2i9aC02 2.40.20.10.2 C.52-135
2c78A02 2.40.30.10.15 A.216-307
4b4dA01 2.40.30.10.16 A.7-100
4wqmA02 2.40.30.10.17 A.96-193
2dy1A02 2.40.30.10.18 A.281-377
4b43A03 2.40.30.10.19 A.241-355
2qtlA02 2.40.30.10.20 A.114-158,291-366
6bk7A02 2.40.30.10.21 A.289-407
3wndA03 2.40.30.10.22 A.277-370
1ddgA01 2.40.30.10.23 A.1-54,160-219
5tr9A01 2.40.30.10.24 A.14-109
2xnjA01 2.40.30.10.25 A.12-115
5o8wA02 2.40.30.10.26 A.239-333
3jqqC01 2.40.30.10.27 C.4-157
2piaA01 2.40.30.10.28 A.1-104
2g50F03 2.40.33.10.1 F.116-218
5fagA01 2.40.37.10.3 A.21-40,281-410
4beuA01 2.40.37.10.4 A.1-25,243-392
4avrA00 2.40.40.10.6 A.1-95
2ae0X01 2.40.40.10.7 X.20-104,243-337
2engA00 2.40.40.10.8 A.1-210
2pnwA01 2.40.40.10.9 A.7-103,272-371
3czbA01 2.40.40.10.10 A.6-86,248-343
2hdmA00 2.40.50.40.48 A.1-74
2kumA01 2.40.50.40.49 A.19-75
2hdlA00 2.40.50.40.50 A.2-78
2mp1A00 2.40.50.40.51 A.1-77
2dy7A00 2.40.50.40.52 A.1-81
1x32A00 2.40.50.40.53 A.1-47
5izbA00 2.40.50.40.54 A.1-89
2rsoA00 2.40.50.40.55 A.1-92
1j8iA00 2.40.50.40.56 A.1-93
4fp5D00 2.40.50.50.1 D.1-98
6ha4A00 2.40.50.60.1 A.1-55
1c4qA00 2.40.50.70.1 A.1-69
4eqpA00 2.40.50.90.1 A.7-135
5ygbA01 2.40.50.90.2 A.2-35,116-218
5m9oA01 2.40.50.90.3 A.5-24,118-220
3bdlA03 2.40.50.90.4 A.352-385,475-565
5j39A01 2.40.50.90.5 A.10-48,119-207
3bdlA02 2.40.50.90.6 A.187-340
4b9wA01 2.40.50.90.7 A.6-35,124-201
3bdlA01 2.40.50.90.8 A.21-186
4qmgA02 2.40.50.90.9 A.170-319
4qmgC01 2.40.50.90.10 C.3-169
1rknA00 2.40.50.90.11 A.1-110
5guaA00 2.40.50.100.1 A.1-71
1h9mA02 2.40.50.100.2 A.4-64,135-144
1fr3A00 2.40.50.100.3 A.1-67
1b9mB02 2.40.50.100.4 B.111-184,256-260
1b9mA03 2.40.50.100.5 A.185-255
3fmcA02 2.40.50.100.6 A.290-363
2qf7A07 2.40.50.100.7 A.1086-1163
1e2wA02 2.40.50.100.8 A.171-230
4iqzB01 2.40.50.100.9 B.37-111
4l8jA03 2.40.50.100.10 A.33-66,127-165
5ze9A03 2.40.50.100.11 A.123-192
1g29103 2.40.50.100.12 1.245-292,356-372
1bdoA00 2.40.50.100.13 A.1-80
2je6I01 2.40.50.100.14 I.9-66
5bn3A03 2.40.50.100.15 A.112-176
2it1A02 2.40.50.100.16 A.239-281,343-362
1vf7A02 2.40.50.100.17 A.42-76,137-172
3rlfA02 2.40.50.100.18 A.239-288,348-363
3d4rB02 2.40.50.100.19 B.102-169
1hczA02 2.40.50.100.20 A.171-229
3crkD00 2.40.50.100.21 D.5-82
2a6hC05 2.40.50.100.22 C.593-667
2awnC02 2.40.50.100.23 C.240-289,348-375
4kksA03 2.40.50.100.24 A.54-125
6eqmA01 2.40.70.10.5 A.30-162
1yg9A02 2.40.70.10.6 A.19-148
5jodA02 2.40.70.10.7 A.223-375
4aa9A02 2.40.70.10.8 A.169-320
2x7kA00 2.40.100.10.2 A.3-166
2a2nA00 2.40.100.10.3 A.13-176
3swoA02 2.40.110.10.4 A.141-244
5xdcA02 2.40.110.10.5 A.124-231
2g7bA00 2.40.128.20.15 A.1-137
1kt6A00 2.40.128.20.16 A.1-175
1dzkA00 2.40.128.20.17 A.10-157
1qftB00 2.40.128.20.18 B.2-171
3fiqA00 2.40.128.20.19 A.4-157
6c1zA00 2.40.128.20.20 A.1-138
2fr2A00 2.40.128.20.21 A.4-164
1ifcA00 2.40.128.20.22 A.2-132
3pptA00 2.40.128.20.23 A.1-133
2xstA00 2.40.128.20.24 A.4-157
1i4uB00 2.40.128.20.25 B.2-181
2ra6C00 2.40.128.20.26 C.24-166
2yg2B00 2.40.128.20.27 B.13-169
1vprA03 2.40.128.20.28 A.156-312
6gqzA00 2.40.128.20.29 A.1-174
3zuiA00 2.40.128.20.30 A.5-150
2hzrA00 2.40.128.20.31 A.1-166
1vq8K00 2.40.150.20.2 K.1-132
4q9wA00 2.40.155.10.2 A.1-218
3sy7A01 2.40.160.10.8 A.16-419
3prnA00 2.40.160.10.9 A.1-289
5dl8A00 2.40.160.10.10 A.17-407
5dl5A00 2.40.160.10.11 A.15-430
4c69X00 2.40.160.10.12 X.13-295
3sybA00 2.40.160.10.13 A.8-459
1a0sP00 2.40.170.10.2 P.1-413
2bf6A02 2.40.220.10.2 A.119-184
1tlyA00 2.40.230.20.1 A.9-275
5bnzA04 2.40.240.10.3 A.349-356,474-559
1feuA01 2.40.240.10.4 A.1-91
1e50B00 2.40.250.10.2 B.1-134
3fn5B00 2.40.260.10.2 B.25-187
2a6hC01 2.40.270.10.2 C.2-8,668-698,832-1004
1td4A00 2.40.300.10.2 A.13-115
1oh1A00 2.40.310.10.2 A.1-109
5a67A00 2.40.320.10.1 A.1-212
1g8lA04 2.40.340.10.2 A.329-402
2oojB00 2.40.350.10.2 B.3-136
3fzxA00 2.40.360.20.1 A.7-218
2ichB02 2.40.370.10.2 B.201-331
2p12A01 2.40.380.10.2 A.10-170
3cmbA00 2.40.400.10.2 A.2-283
2b9bA01 2.40.490.10.2 A.2-22,261-342,407-421
6e48A01 2.40.510.10.2 A.8-57,172-294
3buuB00 2.50.20.10.3 B.6-225
4ki3I00 2.50.20.10.4 I.4-184
1h4aX01 2.60.20.10.3 X.1-83
4psrA03 2.60.20.10.4 A.497-585
3sjlE00 2.60.30.10.2 E.7-131
4wtwA00 2.60.40.10.191 A.2-96
3phsA02 2.60.40.10.192 A.133-241
3w5mA01 2.60.40.10.193 A.3-111
1u3zA00 2.60.40.10.194 A.3-106
4nn5B02 2.60.40.10.195 B.113-216
4x83A02 2.60.40.10.196 A.107-210
4x83D01 2.60.40.10.197 D.3-106
2ww8A01 2.60.40.10.198 A.46-138,722-734
2xi9B01 2.60.40.10.199 B.25-118,322-339
4e9lA01 2.60.40.10.200 A.84-189
6nrxA00 2.60.40.10.201 A.1-106
4m9pA01 2.60.40.10.202 A.3-100
2bk8A00 2.60.40.10.203 A.1-97
2vzsA05 2.60.40.10.204 A.798-899
4l4jA02 2.60.40.10.205 A.112-217
1mfaH01 2.60.40.10.206 H.1-97
1nkrA01 2.60.40.10.207 A.7-103
4hw6A01 2.60.40.10.208 A.10-106
1vcaA02 2.60.40.10.209 A.90-199
4wnqA01 2.60.40.10.210 A.4-113
2vscA01 2.60.40.10.211 A.2-104
4of8A02 2.60.40.10.212 A.117-219
2wqrA02 2.60.40.10.213 A.106-212
3n9gH01 2.60.40.10.214 H.2-123
5z0uA01 2.60.40.10.215 A.1-124
4oq1A03 2.60.40.10.216 A.256-359
4oq1A02 2.60.40.10.217 A.147-255
5n48D00 2.60.40.10.218 D.14-106
4eskC00 2.60.40.10.219 C.5-102
4h5sA00 2.60.40.10.220 A.6-101
3b4nA01 2.60.40.10.221 A.20-107
3kgrA00 2.60.40.10.222 A.6-104
3p4lA01 2.60.40.10.223 A.3-104
3p4lA02 2.60.40.10.224 A.105-203
4n68A00 2.60.40.10.225 A.9-107
6blqA02 2.60.40.10.226 A.86-184
4hljA02 2.60.40.10.227 A.114-227
1eerB02 2.60.40.10.228 B.120-221
3eifA05 2.60.40.10.229 A.835-936
4x83A03 2.60.40.10.230 A.211-312
2z0bE00 2.60.40.10.231 E.8-119
3n06B02 2.60.40.10.232 B.102-206
4jvwD00 2.60.40.10.233 D.7-113
