1h6uA01 1.10.8.390.1 A.1-43
1k90B03 1.20.140.60.2 B.356-508
2qr4A01 1.20.140.70.1 A.4-159
3ce2A01 1.20.140.70.2 A.35-191
5tuuA00 1.20.140.80.1 A.1-144
4ks9A01 1.20.140.90.1 A.2-136
4ksaC02 1.20.140.90.2 C.25-167
2o8pA00 1.20.190.20.2 A.4-222
3efzB00 1.20.190.20.3 B.30-258
4nleA01 1.20.200.10.10 A.18-36,125-198,247-378,455-485
1tj7A02 1.20.200.10.11 A.108-362,434-457
3wfdB00 1.20.210.10.3 B.10-458
1sxjD03 1.20.272.10.13 D.263-353
3u61D03 1.20.272.10.14 D.234-324
3cf6E03 1.20.870.10.3 E.187-347
1y9bB02 1.20.890.30.1 B.50-83
4gyvE00 1.20.900.10.11 E.1-215
4wx0B00 1.20.910.10.18 B.5-259
3ibxD00 1.20.910.10.19 D.4-221
3ddeB00 1.20.910.10.20 B.3-233
3uv5A02 1.20.920.10.37 A.126-261
4py6C00 1.20.920.10.38 C.17-143
3mqmA00 1.20.920.10.39 A.1-126
3vkgB06 1.20.920.20.1 B.2017-2183,2320-2397
4akgA11 1.20.920.20.2 A.1775-2003,2121-2122,2142-2217
3fedA03 1.20.930.40.1 A.552-706
3kasA03 1.20.930.40.2 A.494-635
2xtcA00 1.20.960.30.3 A.2-75
1khdA01 1.20.970.10.11 A.12-78,164-196
4ga4A01 1.20.970.10.12 A.2-68
1f20A02 1.20.990.10.5 A.1-25,76-209
4q5nA02 1.20.1050.10.79 A.91-205
2c3nA02 1.20.1050.10.80 A.88-247
2fnoA02 1.20.1050.10.81 A.104-248
3qavA02 1.20.1050.10.82 A.104-243
4kf9A02 1.20.1050.10.83 A.88-221
5u56A02 1.20.1050.10.84 A.85-196
6j3gB02 1.20.1050.10.85 B.118-265
4o92A02 1.20.1050.10.86 A.79-183
3m1gA02 1.20.1050.10.87 A.186-334
3ic8A02 1.20.1050.10.88 A.86-217
5fhiA02 1.20.1050.10.89 A.77-215
3v2yA01 1.20.1070.10.25 A.34-249,410-495
4grvA01 1.20.1070.10.26 A.20-236,397-480
4xt1A00 1.20.1070.10.27 A.23-318
3gd8A00 1.20.1080.10.8 A.1-223
5k8cA02 1.20.1090.10.12 A.187-358
4rflA02 1.20.1090.10.13 A.173-371
4fqnC00 1.20.1160.20.1 C.11-95
3t57A02 1.20.1180.10.4 A.222-296
1wy1B00 1.20.1200.10.4 B.24-167
4qiqA00 1.20.1250.20.17 A.7-470
1pw4A02 1.20.1250.20.18 A.239-450
1pw4A01 1.20.1250.20.19 A.17-225
3o7qA02 1.20.1250.20.20 A.244-435
4oh3A00 1.20.1250.20.21 A.9-576
4ja3A03 1.20.1250.20.22 A.276-465
2q14H02 1.20.1250.30.1 H.101-115,222-363,396-407
4mudC00 1.20.1260.10.56 C.4-223
5gouG00 1.20.1260.10.57 G.4-137
3pvtB00 1.20.1260.10.58 B.12-248
2v8tA01 1.20.1260.10.59 A.2-302
3pvtA00 1.20.1260.10.60 A.1-304
4w4kB00 1.20.1260.20.1 B.2-174
3ufbA01 1.20.1260.30.1 A.12-170
3khkB01 1.20.1260.30.2 B.7-185
3fd9B02 1.20.1270.190.1 B.89-117,191-255
3kdrA01 1.20.1270.210.1 A.7-34,128-154,206-262
2jnsA01 1.20.1270.220.1 A.10-90
2ex3B02 1.20.1270.230.1 B.136-223
3f7wA03 1.20.1270.240.1 A.123-185,251-288
4kikA03 1.20.1270.250.1 A.402-669
3qa8H03 1.20.1270.250.2 H.402-637
3rv1A01 1.20.1270.260.1 A.1-84
2yi9A05 1.20.1270.270.1 A.703-779
2jpnA00 1.20.1280.210.1 A.1-79
3tl8F00 1.20.1280.220.1 F.25-112
2vj4A03 1.20.1280.240.1 A.182-294
4adnA01 1.20.1280.250.1 A.10-94
2yb5F01 1.20.1280.250.2 F.1-86
3lvyE01 1.20.1290.10.11 E.35-199
2af7D00 1.20.1290.10.12 D.2-122
2bs2C00 1.20.1300.10.9 C.1-255
4wqoD00 1.20.1310.10.13 D.24-182
4n9f302 1.20.1310.10.14 3.137-309
3k8wA01 1.20.1330.10.3 A.24-152,262-319
1sy7A02 1.20.1370.20.3 A.457-520
4bgoA00 1.20.1420.20.1 A.35-285
3pf0A00 1.20.1420.20.2 A.41-358
6g2jF04 1.20.1440.230.2 F.333-428
2jaeA03 1.20.1440.240.1 A.128-228
2l1lB00 1.20.1440.250.1 B.1-127
2mjfB00 1.20.1440.260.1 B.1-95
2v6eA02 1.20.1440.270.1 A.99-227
3vjfA00 1.20.1480.30.1 A.3-101
2pihA00 1.20.1500.10.3 A.2-124
4ry2A02 1.20.1560.10.7 A.156-474
4k7rA01 1.20.1600.10.4 A.1-81,118-287,330-440
3s6pD01 1.20.1690.20.1 D.44-119,550-566,572-575
3r9vA00 1.20.1710.10.3 A.86-283
3wyfC01 1.25.10.10.68 C.1-679
3c5wA00 1.25.10.10.69 A.5-232
4p6zG00 1.25.10.10.70 G.16-602
4ffbC00 1.25.10.10.71 C.11-272
4jw2A00 1.25.10.10.72 A.13-85
4u2xF00 1.25.10.10.73 F.1-175
2qnaA00 1.25.10.10.74 A.1-756
5owuA00 1.25.10.10.75 A.1-861
4fddA00 1.25.10.10.76 A.5-852
5wa1A00 1.25.40.280.2 A.22-379
1zb1A00 1.25.40.280.3 A.6-372
3r9mA00 1.25.40.280.4 A.1-376
6m9mA02 1.25.40.290.1 A.89-207
2b6cB02 1.25.40.290.2 B.122-220
3nb2A02 1.25.40.300.1 A.179-333
2qyuA02 1.25.40.300.2 A.165-359
1l5jA01 1.25.40.310.1 A.1-161
3u9wA04 1.25.40.320.1 A.460-608
2xq0A04 1.25.40.320.2 A.468-632
3ciaA04 1.25.40.320.3 A.465-605
1s0pA01 1.25.40.330.1 A.1-171
3cr3A00 1.25.40.340.1 A.1-192
1un8A02 1.25.40.340.2 A.351-550
1wy6A00 1.25.40.350.1 A.6-166
1z6tA05 1.25.40.370.1 A.451-586
2jekA00 1.25.40.380.1 A.6-145
3jq0A00 1.25.40.390.1 A.6-493
3iv0A00 1.25.40.390.2 A.12-481
3hdxA00 1.25.40.390.3 A.5-478
5j90A00 1.25.40.390.4 A.27-508
3l22A00 1.25.40.390.5 A.13-441
3i4gA00 1.25.40.390.6 A.15-527
3lewA01 1.25.40.390.7 A.16-54,75-258,332-415,465-480
3snxA00 1.25.40.390.8 A.6-460
3jq1B01 1.25.40.390.9 B.5-38,74-259,353-432,466-481
5e75A00 1.25.40.390.10 A.13-519
3sghA00 1.25.40.390.11 A.16-499
4mruB00 1.25.40.390.12 B.21-506
5fq4A00 1.25.40.390.13 A.19-481
3otnA00 1.25.40.390.14 A.12-482
3cghA00 1.25.40.390.15 A.10-516
3nqpA00 1.25.40.390.16 A.17-514
3ehmA01 1.25.40.390.17 A.22-259,461-531
3mcxA01 1.25.40.390.18 A.20-234,446-472
4q69B00 1.25.40.390.19 B.10-462
3ckcA01 1.25.40.390.20 A.17-185,467-527
5lx8A00 1.25.40.390.21 A.32-570
3p1uA00 1.25.40.390.22 A.2-529
3fdhA01 1.25.40.390.23 A.18-213,446-499
4lerA01 1.25.40.390.24 A.13-27,60-204,433-469
3jysA01 1.25.40.390.25 A.2-177,440-499
3qnkC00 1.25.40.390.26 C.2-517
4fyqA04 1.25.50.20.2 A.571-903
2pn5A09 1.50.10.20.22 A.817-1107
3cu7A11 1.50.10.20.23 A.983-1307
2pmvB00 1.50.10.20.24 B.7-273
4ydeB00 1.50.10.20.25 B.110-580
3q7aB00 1.50.10.20.26 B.2-519
1rwhA01 1.50.10.100.1 A.4-372
1n7oA02 1.50.10.100.2 A.2-373
3nnbA01 1.50.10.100.3 A.2-12,13-64,67-180,182-382
4fnvA01 1.50.10.100.4 A.44-420
1yu0A01 2.10.10.30.1 A.5-55
1yueA02 2.10.10.40.1 A.63-142
3k6sD05 2.10.25.10.69 D.558-614
3k6sH04 2.10.25.10.70 H.467-504
3zygB01 2.10.25.10.71 B.19-42,288-345
1jv2B03 2.10.25.10.72 B.532-604
3fcsB04 2.10.25.10.73 B.476-562
3p5bL01 2.10.25.10.74 L.1-75
4d90A02 2.10.25.10.75 A.49-134
2wfxB02 2.10.25.10.76 B.371-454
4aqtA02 2.10.25.10.77 A.277-368
2ygqA02 2.10.25.10.78 A.151-243
5dmjA02 2.10.50.10.24 A.85-166
4mxwR02 2.10.50.10.25 R.109-193
1d4vA02 2.10.50.10.26 A.87-117
2pjyC00 2.10.60.10.19 C.1-79
4faoC00 2.10.60.10.20 C.11-85
2l03A00 2.10.60.10.21 A.1-74
1h34A00 2.10.69.10.3 A.16-72
4b2rA01 2.10.70.10.52 A.1-63
4b2rA02 2.10.70.10.53 A.64-126
1srzA00 2.10.70.10.54 A.1-68
1tpmA00 2.10.70.10.55 A.1-50
1gknA02 2.10.70.10.56 A.68-115
2ehfA00 2.10.70.10.57 A.1-73
1o9aA01 2.10.70.10.58 A.1-44
1g44C01 2.10.70.10.59 C.1-65
4fqjA01 2.10.77.10.7 A.3-17,259-296
1imtA00 2.10.80.10.3 A.1-80
1hcnB00 2.10.90.10.19 B.2-111
3mjkX00 2.10.90.10.20 X.3-161
3rjrB02 2.10.90.10.21 B.252-363
1f39A00 2.10.109.10.7 A.1-101
2co8A00 2.10.110.10.22 A.1-82
1b8tA02 2.10.110.10.23 A.113-175
1x64A01 2.10.110.10.24 A.23-85
4kroA04 2.10.220.10.12 A.514-604
3i2tA04 2.10.220.10.13 A.476-551
3o27B00 2.10.260.10.4 B.4-68
4tvcA01 2.10.270.10.10 A.24-220
3mcxA02 2.20.20.130.1 A.242-270,343-355
3myvA02 2.20.20.130.2 A.233-259,320-333
2rprA00 2.20.25.240.1 A.1-87
2hu9A01 2.20.25.270.1 A.1-61
3t4nB01 2.20.25.290.1 B.75-111
2qrdB01 2.20.25.290.2 B.60-96
1ti2A01 2.20.25.340.1 A.1-66
2e9hA02 2.20.25.350.1 A.114-157
2jubA02 2.20.25.370.1 A.38-76
2liyA00 2.20.25.390.1 A.1-45
3mzlB01 2.20.25.400.1 B.9-46
2z2mD02 2.20.28.150.1 D.22-114
3wwlA00 2.20.28.160.1 A.1-54
2l0zA00 2.20.28.180.1 A.2-42
6hoyA02 2.20.28.200.1 A.128-183
3mcbB00 2.20.70.30.2 B.1-58
1tr8A01 2.20.70.30.3 A.10-61
3pqhA02 2.20.70.60.1 A.80-104
5u47A01 2.20.70.70.1 A.24-29,188-213
4hqnA01 2.20.100.10.3 A.6-15,205-259
3cu7A06 2.20.130.20.4 A.566-613,760-822
2qcvA02 2.20.150.10.3 A.20-45,99-115
4fzqA00 2.20.230.10.4 A.1-79
1y5oA00 2.30.29.30.126 A.1-115
2dn6A00 2.30.29.30.127 A.1-115
2lg1A02 2.30.29.30.128 A.71-185
2mfqA00 2.30.29.30.129 A.1-115
1fhoA00 2.30.29.30.130 A.1-119
1plsA00 2.30.29.30.131 A.1-113
1wi1A01 2.30.29.30.132 A.7-117
1tqzA01 2.30.29.30.133 A.11-133
2d9wA01 2.30.29.30.134 A.12-121
2adzA01 2.30.29.30.135 A.1-49,119-178
1pfjA00 2.30.29.30.136 A.1-108
2cofA00 2.30.29.30.137 A.1-107
2rloA00 2.30.29.30.138 A.1-128
1v5pA01 2.30.29.30.139 A.16-118
1v61A00 2.30.29.30.140 A.1-132
2cocA01 2.30.29.30.141 A.8-107
2dhkA01 2.30.29.30.142 A.10-109
2m38A00 2.30.29.30.143 A.12-146
2daqA00 2.30.30.140.71 A.1-110
2m1hA00 2.30.30.140.72 A.1-110
2yrvA01 2.30.30.140.73 A.5-117
2mamA00 2.30.30.140.74 A.1-118
1wjrA00 2.30.30.140.75 A.1-127
1wgsA00 2.30.30.140.76 A.1-133
2gfuA00 2.30.30.140.77 A.1-134
1igqB00 2.30.30.150.1 B.6-62
1m9sA03 2.30.30.170.1 A.358-432
4epcA01 2.30.30.170.2 A.183-263
1m9sA04 2.30.30.170.3 A.433-518
4epcA02 2.30.30.170.4 A.264-334
1ib8A02 2.30.30.180.1 A.94-160
2e3hA00 2.30.30.190.1 A.1-90
4b6mB00 2.30.30.190.2 B.5-83
2hknA00 2.30.30.190.3 A.2-83
2e3iA00 2.30.30.190.4 A.1-86
2z0wA00 2.30.30.190.5 A.11-82
1whmA01 2.30.30.190.6 A.14-85
1whlA00 2.30.30.190.7 A.1-95
1ts9A00 2.30.30.210.1 A.5-102
1v76A00 2.30.30.210.2 A.5-96
1ou8A00 2.30.30.220.1 A.5-110
2qazD00 2.30.30.220.2 D.14-125
1hyoA01 2.30.30.230.1 A.4-116
5ti1A01 2.30.30.230.2 A.12-142
2dyiA02 2.30.30.240.1 A.85-155
3htrB00 2.30.30.240.2 B.6-95
2qggA02 2.30.30.240.3 A.99-181
1pm3A00 2.30.30.240.4 A.20-97
2hmaA02 2.30.30.280.1 A.217-285
2ox7A02 2.30.30.290.1 A.69-137
2p84A02 2.30.30.290.2 A.63-135
1irxA02 2.30.30.300.1 A.170-212
2ox7A01 2.30.30.310.1 A.6-67
3be3A00 2.30.30.320.1 A.6-81
1sf9A02 2.30.30.340.1 A.75-128
3g1jA00 2.30.30.350.1 A.1-90
4pfoA01 2.30.30.360.1 A.4-49
1lvkA01 2.30.30.360.2 A.33-80
4e7sA01 2.30.30.360.3 A.11-59
1b7tA02 2.30.30.360.4 A.27-78
3rr6A01 2.30.30.370.1 A.5-61
1wzoA01 2.30.30.370.2 A.1-40
2dfuA01 2.30.30.370.3 A.1-44
3b08E00 2.30.30.380.1 E.5-63
3eh1A02 2.30.30.380.2 A.31-37,77-142
2giaA00 2.30.31.40.2 A.27-192
3cw9A03 2.30.38.10.4 A.322-401
2wxyC01 2.30.39.10.28 C.73-101,257-350,406-450
3ozqA01 2.30.39.10.29 A.1-37,175-279,351-376
4afxA02 2.30.39.10.30 A.222-317
2r9yA02 2.30.39.10.31 A.180-276,328-385
3ooqF01 2.30.40.10.35 F.5-57,349-389
4ub9A01 2.30.40.10.36 A.30-91,437-474
2vhlB01 2.30.40.10.37 B.2-57,359-394
2icsA01 2.30.40.10.38 A.4-54,322-371
3ighX01 2.30.40.10.39 X.2-61,458-484
3suzA02 2.30.42.10.88 A.201-297
3pv2A02 2.30.42.10.89 A.253-363
3r0hG01 2.30.42.10.90 G.11-111
2f5yA00 2.30.42.10.91 A.2-83
1pdrA00 2.30.42.10.92 A.4-99
3k1rA02 2.30.42.10.93 A.82-192
2rczA01 2.30.42.10.94 A.20-78
1nf3C00 2.30.42.10.95 C.6-128
3mh7A04 2.30.42.10.96 A.357-447
2o2tB00 2.30.42.10.97 B.7-117
1ky9B04 2.30.42.10.98 B.378-446
2yt8A00 2.30.42.10.99 A.1-94
2edvA00 2.30.42.10.100 A.1-96
1n02A00 2.30.60.10.5 A.1-102
3db0B00 2.30.110.10.59 B.5-128
2furB00 2.30.110.10.60 B.20-209
5escA00 2.30.110.10.61 A.1-119
1wv4B00 2.30.110.10.62 B.17-218
2rdeB01 2.30.110.10.63 B.22-135
1dnlA00 2.30.110.10.64 A.1-199
5yjlD01 2.30.110.10.65 D.47-188
3bnkA00 2.30.110.10.66 A.2-187
4hstB02 2.30.120.10.3 B.74-141
1xneA00 2.30.130.30.5 A.1-113
2kkuA00 2.30.130.30.6 A.23-161
2aneA00 2.30.130.40.1 A.15-124
5fqdE02 2.30.130.40.2 E.45-169
3mfdA02 2.30.140.30.1 A.243-329
5mmiY00 2.30.170.40.2 Y.72-148
1o9yC00 2.30.330.10.3 C.10-81
5yofB01 2.40.10.120.6 B.17-86
2fomB01 2.40.10.120.7 B.18-85
5gpiF01 2.40.10.120.8 F.20-86
2whxA01 2.40.10.120.9 A.21-177
2o8mB01 2.40.10.120.10 B.40-105
5t69A01 2.40.10.120.11 A.27-255
2f4lA02 2.40.10.120.12 A.89-131
3pv2D01 2.40.10.120.13 D.18-252
4b6eB01 2.40.10.120.14 B.38-219,660-680
4m9fA00 2.40.10.120.15 A.1-233
2ijd101 2.40.10.120.16 1.1-180
2ok5A02 2.40.10.120.17 A.481-699
1wxrA01 2.40.10.120.18 A.1-257
3h09A01 2.40.10.120.19 A.1-314
4om9A01 2.40.10.120.20 A.3-257,519-577
2ck3D01 2.40.10.170.1 D.13-85
5ik2E01 2.40.10.170.2 E.1-76
3dclA02 2.40.10.170.3 A.12-25,65-141
4kbmB01 2.40.10.170.4 B.2-60
4l5gB01 2.40.10.170.5 B.1-62
6f5dD01 2.40.10.170.6 D.12-87
2eyqA05 2.40.10.170.7 A.483-541
3mlqH00 2.40.10.170.8 H.18-59
3mlqG00 2.40.10.170.9 G.13-52
1nl1A00 2.40.20.10.8 A.1-147
1v5vA03 2.40.30.110.3 A.312-386
1vloA04 2.40.30.110.4 A.289-379
4pabA05 2.40.30.110.5 A.763-839
4rlzA02 2.40.30.120.1 A.70-179
5iypA02 2.40.30.120.2 A.60-166
4rdlA02 2.40.30.120.3 A.70-176
6e48A02 2.40.30.120.4 A.58-171
4qv2A02 2.40.30.120.5 A.59-206
4qvaA02 2.40.30.120.6 A.59-206
5e6tA02 2.40.30.120.7 A.61-154
2zzeA03 2.40.30.130.1 A.504-601
3kewA01 2.40.30.130.2 A.3-86
3bh4A02 2.40.30.140.1 A.102-205
3bc9A03 2.40.30.140.2 A.232-324
1wthD03 2.40.30.150.1 D.205-225,228-248,303-364
1oruA00 2.40.33.20.1 A.5-185
5x7nB01 2.40.37.10.18 B.3-49,307-444
1knwA01 2.40.37.10.19 A.2-32,278-422
3n2oC01 2.40.37.10.20 C.12-70,353-368,465-587
2o5iN04 2.40.40.20.17 N.623-645,698-767
4ga6A01 2.40.40.20.18 A.1-83
1yleA02 2.40.40.20.19 A.276-342
2a6hD04 2.40.40.20.20 D.623-767
1g29102 2.40.50.140.177 1.310-354
4l5tB02 2.40.50.140.178 B.110-200
3w1gA03 2.40.50.140.179 A.455-605
1rl2A01 2.40.50.140.180 A.1-56
2d0oA05 2.40.50.140.181 A.466-510
6az1d00 2.40.50.140.182 d.22-86
4qqbX01 2.40.50.140.183 X.5-72
4mtnA02 2.40.50.140.184 A.110-172
1jb7A03 2.40.50.140.185 A.327-495
4ah6A01 2.40.50.140.186 A.3-116
1qzgA00 2.40.50.140.187 A.7-176
1miuA05 2.40.50.140.188 A.594-726
1u0lA01 2.40.50.140.189 A.9-72
4ifdI02 2.40.50.140.190 I.135-300
1jb7A01 2.40.50.140.191 A.37-210
2nn6I02 2.40.50.140.192 I.71-199
4aimA04 2.40.50.140.193 A.635-710
5fj8G02 2.40.50.140.194 G.80-212
3ebeB00 2.40.50.140.195 B.8-181
1je5A00 2.40.50.140.196 A.1-197
6gmhH01 2.40.50.140.197 H.6-149
2zteA01 2.40.50.140.198 A.15-79
1iyjB03 2.40.50.140.199 B.396-558,560-645
3d31A02 2.40.50.140.200 A.232-271,343-348
5zkgA00 2.40.50.140.201 A.40-204
4gnxC03 2.40.50.140.202 C.253-444
2k75A01 2.40.50.140.203 A.1-103
2k50A01 2.40.50.140.204 A.7-110
1jjgA00 2.40.50.140.205 A.1-102
1lm0A00 2.40.50.140.206 A.7-107
2kbnA00 2.40.50.140.207 A.1-109
1wjjA01 2.40.50.140.208 A.26-135
2mfiA00 2.40.50.140.209 A.1-96
2khiA00 2.40.50.140.210 A.21-115
2khjA00 2.40.50.140.211 A.21-109
2ytyA00 2.40.50.140.212 A.1-88
2kctA01 2.40.50.140.213 A.2-88
2k14A00 2.40.50.140.214 A.1-84
2dgyA01 2.40.50.140.215 A.1-79
1pfsA00 2.40.50.140.216 A.1-78
1wi5A01 2.40.50.140.217 A.19-93
2k52A00 2.40.50.140.218 A.1-74
2k5nA00 2.40.50.140.219 A.1-74
1x65A01 2.40.50.140.220 A.7-79
2k5hA01 2.40.50.140.221 A.29-101
1ny4A00 2.40.50.140.222 A.1-71
1yvcA00 2.40.50.140.223 A.1-70
1d7qA00 2.40.50.140.224 A.1-143
1mppA02 2.40.70.10.32 A.187-361
2rspA00 2.40.70.10.33 A.1-124
1qdmC02 2.40.70.10.34 C.228-283,386-387,388-458
1fmbA00 2.40.70.10.35 A.1-104
3sqfA00 2.40.70.10.36 A.9-103
1x7fA02 2.40.100.10.14 A.267-385
5dudC02 2.40.100.10.15 C.170-307
4g5eA02 2.40.110.10.16 A.149-273
3mkhA02 2.40.110.10.17 A.130-260
2la7A01 2.40.128.270.3 A.18-145
2ktsA01 2.40.128.270.4 A.11-112
3htyA00 2.40.128.280.1 A.1-94
4qrlA00 2.40.128.280.2 A.7-116
2jmbA00 2.40.128.290.1 A.1-79
2z4iA01 2.40.128.300.1 A.12-98
2z4iB01 2.40.128.300.2 B.22-98
3rbyA02 2.40.128.310.1 A.151-245
3rbyA01 2.40.128.320.1 A.1-150
3rkgA01 2.40.128.330.1 A.1-94
3rwxA01 2.40.128.340.1 A.8-127
3rwxA02 2.40.128.350.1 A.128-257
2m4lA00 2.40.128.360.1 A.1-99
2mhdA00 2.40.128.370.1 A.1-110
2ovsA00 2.40.128.380.1 A.1-118
2zaiA02 2.40.128.390.1 A.131-213
3d4rB01 2.40.128.400.1 B.13-101
4gdzA00 2.40.128.410.1 A.27-175
3rwaA00 2.40.155.10.13 A.1-233
2g2sB00 2.40.155.10.14 B.2-165
2lfuA02 2.40.160.90.8 A.65-193
4afkA00 2.40.160.100.1 A.5-458
5gv0A00 2.40.160.110.1 A.1-162
4akmB00 2.40.160.110.2 B.1-157
1zhxA03 2.40.160.120.1 A.121-311
2ynkA00 2.40.160.130.1 A.1-456
2w16A03 2.40.170.20.8 A.230-772
3fhhA02 2.40.170.20.9 A.125-640
4b7hA02 2.40.180.10.6 A.64-146,198-371
2nwaA01 2.40.240.20.8 A.2-77
4l69A01 2.40.240.20.9 A.3-73
2ae0X02 2.40.240.50.1 X.105-242
5b23A00 2.40.260.10.10 A.44-226
1ng5B00 2.40.260.10.11 B.5-215
1jeyB02 2.40.290.10.3 B.243-443
3typB00 2.40.320.10.7 B.1-155
1na6A01 2.40.330.10.6 A.4-177
2v4dE01 2.40.420.20.5 E.13-22,266-339
4z7aA03 2.40.440.10.4 A.261-397
2byoA00 2.50.20.20.3 A.20-207
2hldH01 2.60.15.10.4 H.11-97
3enuA00 2.60.20.10.17 A.1-114
1yhpA01 2.60.20.10.18 A.1-92
2dadA00 2.60.20.10.19 A.1-93
1bprA00 2.60.34.10.5 A.11-183
4wf7A03 2.60.40.1180.77 A.472-555
2wskA03 2.60.40.1180.78 A.573-657
4gklA02 2.60.40.1180.79 A.335-422
2z1kA02 2.60.40.1180.80 A.391-475
3dhuA02 2.60.40.1180.81 A.354-428
4amwA03 2.60.40.1180.82 A.809-879
2g3mA04 2.60.40.1180.83 A.605-693
3bvxA03 2.60.40.1180.84 A.523-647,928-949
5axgA03 2.60.40.1180.85 A.486-611
1ua7A02 2.60.40.1180.86 A.345-422
1ht6A02 2.60.40.1180.87 A.348-404
4aieA03 2.60.40.1180.88 A.469-540
3wnoB04 2.60.40.1180.89 B.579-704
4uzsA03 2.60.40.1180.90 A.628-689
4xb3A03 2.60.40.1180.91 A.465-536
1iv8A05 2.60.40.1180.92 A.655-720
1o7dC02 2.60.40.1180.93 C.62-150
2wc7A02 2.60.40.1180.94 A.398-486
3fw6A01 2.60.40.1180.95 A.16-32,435-534
1gcyA02 2.60.40.1180.96 A.362-417
2igtA02 2.60.40.1180.97 A.42-109
5nn4A05 2.60.40.1180.98 A.741-872
5i0dA05 2.60.40.1180.99 A.799-937
1gjwA02 2.60.40.1180.100 A.569-636
3vmnA03 2.60.40.1180.101 A.496-637
4j7rB03 2.60.40.1180.102 B.718-839
2zutA04 2.60.40.1180.103 A.696-754
1kwgA03 2.60.40.1180.104 A.595-644
2vrqA01 2.60.40.1180.105 A.4-18,380-496
3l4yA05 2.60.40.1180.106 A.732-870
3klkA04 2.60.40.1180.107 A.500-642
2chnB04 2.60.40.1180.108 B.592-715
2yocA05 2.60.40.1180.109 A.986-1070
3ug3D01 2.60.40.1180.110 D.22-36,378-502
2g3mA03 2.60.40.1180.111 A.530-604
4aeeA05 2.60.40.1180.112 A.618-696
2vncB03 2.60.40.1180.113 B.612-715
4ba0A03 2.60.40.1180.114 A.618-668
3ttyA03 2.60.40.1180.115 A.614-675
3zr5A01 2.60.40.1180.116 A.14-26,317-442
3vgfA03 2.60.40.1180.117 A.496-557
5a57A03 2.60.40.1180.118 A.579-735
4aefA04 2.60.40.1180.119 A.584-645
2y2wD01 2.60.40.1180.120 D.41-59,442-565
2f2hA03 2.60.40.1180.121 A.617-664
4ba0A04 2.60.40.1180.122 A.669-817
4oifA03 2.60.40.1180.123 A.625-686
4amwA04 2.60.40.1180.124 A.880-1027
3lrkA02 2.60.40.1180.125 A.324-470
1ea9C04 2.60.40.1180.126 C.503-583
5e9aB03 2.60.40.1180.127 B.649-710
1lwjA03 2.60.40.1180.128 A.392-441
3topA05 2.60.40.1180.129 A.763-898
2fe0A01 2.60.40.1180.130 A.30-136
2ivfC00 2.60.40.1190.1 C.1-214
1i82A00 2.60.40.1190.2 A.1-189
4jpqB00 2.60.40.1190.3 B.3-220
1ulvA04 2.60.40.1190.4 A.774-938,939-1020
1im3D00 2.60.40.1200.1 D.1-95
4qi3A00 2.60.40.1210.1 A.2-208
1d7cA00 2.60.40.1210.2 A.2-190
6nfrA00 2.60.40.1220.1 A.25-121
3bc9A01 2.60.40.1220.2 A.17-109
1o6vA02 2.60.40.1220.3 A.385-466
5icuA00 2.60.40.1220.4 A.1-102
4aw4A03 2.60.40.1220.5 A.209-310
3fawA01 2.60.40.1220.6 A.37-131
4aq1A01 2.60.40.1220.7 A.172-265
2ra1A04 2.60.40.1220.8 A.230-326
3bz5A02 2.60.40.1220.9 A.372-451
2ya1A03 2.60.40.1220.10 A.222-318
3zy7A00 2.60.40.1230.1 A.3-122
1kyfA01 2.60.40.1230.2 A.1-134
3mnmA00 2.60.40.1230.3 A.9-123
2dwyB00 2.60.40.1230.4 B.5-130
1lmiA00 2.60.40.1240.1 A.1-131
4lesA00 2.60.40.1240.2 A.65-206
3cfuA00 2.60.40.1240.3 A.2-151
3qfgB00 2.60.40.1240.4 B.56-197
2llgA00 2.60.40.1240.5 A.1-143
1l6pA00 2.60.40.1250.1 A.4-124
6dnvA00 2.60.40.1250.2 A.3-125
3gefA00 2.60.40.1260.1 A.1-118
1ufgA00 2.60.40.1260.2 A.1-151
1o75A04 2.60.40.1270.1 A.333-414
5ihwA01 2.60.40.1280.1 A.1-146,313-314
3irpX01 2.60.40.1280.2 X.2-153
4lebA01 2.60.40.1280.3 A.1-161
4mboA01 2.60.40.1280.4 A.8-158
4je0B01 2.60.40.1280.5 B.4-155
4b60A01 2.60.40.1280.6 A.11-153
4f27A01 2.60.40.1280.7 A.33-181
3v10A01 2.60.40.1280.8 A.1-157,308-318
1n67A01 2.60.40.1280.9 A.28-168
2f68X01 2.60.40.1280.10 X.6-143
2z1pA01 2.60.40.1280.11 A.12-145,300-306
5ihwA02 2.60.40.1290.1 A.147-312
4je0A02 2.60.40.1290.2 A.156-316
4mboA02 2.60.40.1290.3 A.159-318
3irpX02 2.60.40.1290.4 X.154-301
4b60A02 2.60.40.1290.5 A.154-319
4q6kA01 2.60.40.1290.6 A.3-166
2vr3B02 2.60.40.1290.7 B.154-311
4f27A02 2.60.40.1290.8 A.182-352
4mbrA02 2.60.40.1290.9 A.168-333
1o75A03 2.60.40.1300.1 A.205-332
1kzqA02 2.60.40.1320.1 A.133-256
2wnkA01 2.60.40.1320.2 A.4-132
1kzqA01 2.60.40.1320.3 A.4-132
2wnkA02 2.60.40.1320.4 A.133-238
2jksA02 2.60.40.1320.5 A.165-315
2jksA01 2.60.40.1320.6 A.4-164
