2z4sA02 1.10.8.60.51 A.264-335
4d8mA01 1.20.190.10.6 A.1-218
1w99A01 1.20.190.10.7 A.15-187
1y2mC02 1.20.200.10.6 C.272-545,649-716
2j91C02 1.20.200.10.7 C.131-416,458-494
5b1aA00 1.20.210.10.1 A.2-514
1iqpA03 1.20.272.10.9 A.234-327
1sxjC03 1.20.272.10.10 C.239-333
6d55B01 1.20.870.10.1 B.4-177,367-409
3rrsA02 1.20.890.20.1 A.272-321
4d0nB01 1.20.900.10.9 B.1-245
3hlxA00 1.20.910.10.12 A.2-255
2a2mA00 1.20.910.10.13 A.22-252
1sk7A00 1.20.910.10.14 A.12-198
5c8gB00 1.20.920.10.27 B.8-125
4n4gA01 1.20.920.10.28 A.35-149
3u5nA02 1.20.920.10.29 A.78-207
5vs7A00 1.20.920.10.30 A.1-119
3nxbA00 1.20.920.10.31 A.15-115
1eo0A00 1.20.930.10.6 A.1-77
3buxB01 1.20.930.20.1 B.25-153
1uujB00 1.20.960.30.1 B.4-77
1vquA01 1.20.970.10.7 A.25-91
4hkmA01 1.20.970.10.8 A.3-73
4dqlA02 1.20.990.10.3 A.49-170
3rbtA02 1.20.1050.10.57 A.109-225
4g0iA02 1.20.1050.10.58 A.169-279
4ivfA02 1.20.1050.10.59 A.96-211
4q5qA02 1.20.1050.10.60 A.88-192
2yv7A02 1.20.1050.10.61 A.116-258
4j2fA02 1.20.1050.10.62 A.87-220
5uuoA02 1.20.1050.10.63 A.136-293
5g5eA02 1.20.1050.10.64 A.82-221
5jpoD02 1.20.1050.10.65 D.83-215
3cbuA02 1.20.1050.10.66 A.79-212
2gsqA02 1.20.1050.10.67 A.79-186
4iarA01 1.20.1070.10.19 A.9-210,317-398
3pblB01 1.20.1070.10.20 B.41-231,392-472
5lweA00 1.20.1070.10.21 A.22-323
3tdsE00 1.20.1080.10.6 E.4-259
1vljA02 1.20.1090.10.8 A.197-407
5tprA02 1.20.1090.10.9 A.221-436
1e91A00 1.20.1160.11.2 A.1-85
4r36A02 1.20.1180.10.2 A.210-275
1nogA00 1.20.1200.10.2 A.23-171
4jr9A00 1.20.1250.20.3 A.15-461
4u4vA01 1.20.1250.20.4 A.13-237
4gc0A01 1.20.1250.20.5 A.5-253
4u4vA02 1.20.1250.20.6 A.238-463
3wdoA01 1.20.1250.20.7 A.1-392
4gc0A02 1.20.1250.20.8 A.254-479
4j05A00 1.20.1250.20.9 A.32-520
4r42A01 1.20.1260.10.40 A.1-187
1z6oM00 1.20.1260.10.41 M.1-191
2oh3A01 1.20.1260.10.42 A.4-150
2clbA01 1.20.1260.10.43 A.10-168
2ib0A01 1.20.1260.10.44 A.17-151
3unoE00 1.20.1260.10.45 E.8-182
2qqyA00 1.20.1260.10.46 A.5-142
2fjcB00 1.20.1260.10.47 B.1-156
3cazB00 1.20.1270.60.21 B.15-224
4wpcA00 1.20.1270.60.22 A.14-310
2zxqA06 1.20.1270.70.1 A.1135-1206
1lq7A00 1.20.1270.70.2 A.1-67
4az6A02 1.20.1270.90.1 A.368-435
2pmrA00 1.20.1270.90.2 A.5-80
4azcB02 1.20.1270.90.3 B.358-421
2oo2A00 1.20.1270.90.4 A.2-77
2oznB01 1.20.1270.90.5 B.2-81
3n1eA02 1.20.1280.130.1 A.47-141
3l1nA02 1.20.1280.140.1 A.108-194
2hd0A01 1.20.1280.150.1 A.2-79
4akgA14 1.20.1280.160.1 A.2294-2374,2668-2695
2pftA00 1.20.1280.170.1 A.3-570
1vkeB00 1.20.1290.10.7 B.33-133
5dikA00 1.20.1290.10.8 A.10-121
1kf6D00 1.20.1300.10.7 D.1-119
1ldjA01 1.20.1310.10.9 A.1-160
6i2mB03 1.20.1310.10.10 B.251-359
2d4xA00 1.20.1330.10.1 A.12-225
4aumA02 1.20.1370.20.1 A.469-567
3ay5A01 1.20.1420.10.6 A.14-163
2kvpA00 1.20.1420.10.7 A.1-165
3f4mA00 1.20.1440.160.1 A.8-161
2kkmA01 1.20.1440.170.1 A.20-144
6hx1A03 1.20.1440.180.1 A.274-403
4oavD03 1.20.1440.180.2 D.569-699
2rioA03 1.20.1440.180.3 A.302-434
1td6A01 1.20.1480.10.1 A.17-118
2iazA00 1.20.1500.10.1 A.1-112
4q4hA01 1.20.1560.10.5 A.8-325
1ek9A00 1.20.1600.10.2 A.1-428
1v9mA02 1.20.1690.10.1 A.78-178
3nftA00 1.20.1710.10.1 A.27-297
3nowA01 1.25.10.10.50 A.1-358
3grlA00 1.25.10.10.51 A.18-632
4g3aB00 1.25.10.10.52 B.2-235
4dvgB00 1.25.10.10.53 B.8-312
2qk2A01 1.25.10.10.54 A.1-234
3ltjA00 1.25.10.10.55 A.7-197
2db0B00 1.25.10.10.56 B.9-248
5dn7A00 1.25.10.10.57 A.18-267
1b3uA00 1.25.10.10.58 A.1-588
1bi7B00 1.25.40.20.56 B.10-134
4rlyA00 1.25.40.20.57 A.2-324
3ljnA00 1.25.40.20.58 A.16-319
2fo1E00 1.25.40.20.59 E.5-369
3lvqE03 1.25.40.20.60 E.206-264
2ajaA00 1.25.40.20.61 A.3-349
5y4fB00 1.25.40.20.62 B.2-416
1bpoA02 1.25.40.30.1 A.333-487
5b1aE00 1.25.40.40.1 E.5-109
1epuA03 1.25.40.60.1 A.358-481
2xheA04 1.25.40.60.2 A.360-477
1mqsA04 1.25.40.60.3 A.419-514,555-561
1e7uA03 1.25.40.70.1 A.385-584
4jpsA03 1.25.40.70.2 A.479-695
4uwhA01 1.25.40.70.3 A.10-194,195-254
2wxfA01 1.25.40.70.4 A.5-51,383-571
3ls8B01 1.25.40.70.5 B.31-207,208-267
2i9cA01 1.25.40.70.6 A.8-118
4v0iA03 1.25.40.70.7 A.471-571
5zm0A02 1.25.40.80.1 A.134-170,215-305
4djaA02 1.25.40.80.2 A.132-196,230-321
4u63A02 1.25.40.80.3 A.149-184,226-310
4cdnB02 1.25.40.80.4 B.162-339
1np7A02 1.25.40.80.5 A.141-169,213-302
4jzyA02 1.25.40.80.6 A.140-180,225-321
1u3dA02 1.25.40.80.7 A.141-180,214-307
1dnpA02 1.25.40.80.8 A.131-168,204-288
2j4dA02 1.25.40.80.9 A.175-344
2e0iA02 1.25.40.80.10 A.127-155,189-257
5lp0A00 1.25.40.90.1 A.1-140
4gzcA00 1.25.40.90.2 A.46-177
3d9jB00 1.25.40.90.3 B.2-141
3zyqA01 1.25.40.90.4 A.7-155
3g2sB00 1.25.40.90.5 B.8-148
3zylA01 1.25.40.90.6 A.12-153
1elkA00 1.25.40.90.7 A.5-157
5mdtA00 1.25.40.90.8 A.2-153
4flbA00 1.25.40.90.9 A.2-132
4nacA00 1.25.40.90.10 A.4-139
1sz9C00 1.25.40.90.11 C.2-141
5cmyA00 1.25.40.90.12 A.2-159
3ldzA00 1.25.40.90.13 A.1-140
1hx8A01 1.25.40.90.14 A.22-142
5dllA05 1.25.50.10.4 A.550-867
3dssB00 1.50.10.20.4 B.5-331
3k7xA00 1.50.10.20.5 A.2-348
1qqfA00 1.50.10.20.6 A.2-277
4mu9B00 1.50.10.20.7 B.1-364
3draB00 1.50.10.20.8 B.2-390
2sqcA01 1.50.10.20.9 A.10-35,308-628
2h6fB00 1.50.10.20.10 B.15-424
2v8iA01 1.50.10.20.11 A.1-42,56-107,122-254,289-342,372-501
2bb6A01 1.50.10.20.12 A.8-308
4mb4A04 2.10.10.20.2 A.484-528
4tx8A01 2.10.10.20.3 A.25-77
3f6uL01 2.10.25.10.49 L.1-45
5wb7E00 2.10.25.10.50 E.10-56
2ygoA02 2.10.25.10.51 A.151-181
4xl1A03 2.10.25.10.52 A.82-118
1eqgA01 2.10.25.10.53 A.13-53
3fcsD04 2.10.25.10.54 D.435-474
2wg3D02 2.10.25.10.55 D.371-425
3u7uK00 2.10.25.10.56 K.3-53
1xdtR00 2.10.25.10.57 R.39-79
1yo8A02 2.10.25.10.58 A.51-106
1d4vA03 2.10.50.10.18 A.1-46
4e4dR02 2.10.50.10.19 R.87-141
1sg1X02 2.10.50.10.20 X.83-161
2fd6U03 2.10.60.10.13 U.189-276
1m9zA00 2.10.60.10.14 A.1-105
2fd6U02 2.10.60.10.15 U.93-188
2fj8A01 2.10.69.10.1 A.4-63
3o8eD02 2.10.70.10.36 D.63-126
2wiiC01 2.10.70.10.37 C.8-70
4igdA01 2.10.70.10.38 A.5-71
2wiiC03 2.10.70.10.39 C.132-195
3o8eB01 2.10.70.10.40 B.1-62
3t5oA03 2.10.70.10.41 A.620-681
4f4oC01 2.10.70.10.42 C.33-89
3t5oA04 2.10.70.10.43 A.682-744
2viuA02 2.10.77.10.5 A.29-56,273-328
1lpbA00 2.10.80.10.1 A.6-90
4jphB00 2.10.90.10.13 B.30-140
2c7wA00 2.10.90.10.14 A.4-99
4ay9B00 2.10.90.10.15 B.1-107
2fjrA02 2.10.109.10.5 A.77-189
2d8yA01 2.10.110.10.16 A.9-80
2darA01 2.10.110.10.17 A.12-83
1imlA00 2.10.110.10.18 A.1-76
4uv7A04 2.10.220.10.8 A.481-613
4qxfC00 2.10.220.10.9 C.19-97
1mvfD00 2.10.260.10.2 D.4-47
1h8gA00 2.10.270.10.8 A.1-95
2b9kA00 2.20.20.70.1 A.1-47
2hjeA02 2.20.20.100.1 A.158-221
2iv2X01 2.20.25.90.3 X.1-55
1q16A03 2.20.25.90.4 A.42-48,59-98
2vpzA01 2.20.25.90.5 A.30-96
6az1c00 2.20.25.100.1 c.2-85
5xyib00 2.20.25.100.2 b.2-83
1qxfA00 2.20.25.100.3 A.1-58
3d2lA02 2.20.25.110.1 A.139-201
1wznA02 2.20.25.110.2 A.147-209
1y8cA02 2.20.25.110.3 A.144-203
3msuA01 2.20.28.60.2 A.2-58
1ryqA00 2.20.28.90.1 A.2-69
1vziA01 2.20.28.100.1 A.2-39
6hma100 2.20.28.120.1 1.1-47
1o6wA01 2.20.70.10.20 A.4-29
2e45A01 2.20.70.10.21 A.23-45
2dk1A00 2.20.70.10.22 A.1-50
2mdiA00 2.20.70.10.23 A.1-56
6b0sC00 2.20.100.10.1 C.8-72
5fo8B01 2.20.130.20.2 B.18-79
3pl2A02 2.20.150.10.1 A.17-42,95-112
4fuoA01 2.20.230.10.2 A.2-77
3ulbA01 2.30.29.30.90 A.30-119
1kz7C02 2.30.29.30.91 C.196-339
3qbvB02 2.30.29.30.92 B.200-350
4wj7D00 2.30.29.30.93 D.15-169
3wyfE00 2.30.29.30.94 E.8-235
3ml4C01 2.30.29.30.95 C.7-114
4b6hA00 2.30.29.30.96 A.4-133
1j0wB00 2.30.29.30.97 B.1-103
1q67A01 2.30.29.30.98 A.24-224
4dx8D00 2.30.29.30.99 D.12-150
3cxbB00 2.30.29.30.100 B.1-103
4iapA01 2.30.29.30.101 A.5-17,182-260
3tfmA01 2.30.29.30.102 A.21-56,166-228
2hthB00 2.30.29.30.103 B.5-133
5cllB00 2.30.29.30.104 B.15-153
4xwxA00 2.30.29.30.105 A.1-167
2dyqA00 2.30.29.30.106 A.15-144
3ml4A02 2.30.29.30.107 A.115-214
3bfmA02 2.30.30.100.39 A.192-234
3rkxA03 2.30.30.100.40 A.277-323
4wf2A03 2.30.30.100.41 A.271-320
1ycyA00 2.30.30.100.42 A.5-69
6j6gi00 2.30.30.100.43 i.10-92
4m7dI00 2.30.30.100.44 I.1-91
6bk8o00 2.30.30.100.45 o.4-85
4m77A00 2.30.30.100.46 A.4-103
5gmke00 2.30.30.100.47 e.44-108
1hxdA03 2.30.30.100.48 A.271-313
5gmkm00 2.30.30.100.49 m.1-109
6bk8q00 2.30.30.100.50 q.16-108
4c8qA00 2.30.30.100.51 A.6-99
4c92A00 2.30.30.100.52 A.17-146
2rm4A01 2.30.30.100.53 A.7-72
4a53A01 2.30.30.100.54 A.1-62
2k57A00 2.30.30.100.55 A.1-55
4a54A00 2.30.30.100.56 A.1-96
1m1fB00 2.30.30.110.1 B.1-110
3vubA00 2.30.30.110.2 A.1-101
5hk3B00 2.30.30.110.3 B.2-114
5cqxA00 2.30.30.110.4 A.1-119
5uctB00 2.30.30.110.5 B.1-100
1bcoA02 2.30.30.130.1 A.245-312
2hqxA01 2.30.30.140.1 A.41-121
5ygbA02 2.30.30.140.2 A.36-115
3m9qB00 2.30.30.140.3 B.13-99
3meuB02 2.30.30.140.4 B.105-178
3ntkA02 2.30.30.140.5 A.25-104
2bivC02 2.30.30.140.6 C.59-162
3d3rA00 2.30.30.140.7 A.15-97
4q5wA02 2.30.30.140.8 A.22-106
6bhdA03 2.30.30.140.9 A.173-235
3qbyB00 2.30.30.140.10 B.5-94
3fdrA00 2.30.30.140.11 A.5-93
4c5eA04 2.30.30.140.12 A.374-451
2z1cB00 2.30.30.140.13 B.2-75
6bhdA01 2.30.30.140.14 A.18-77
2xdpA01 2.30.30.140.15 A.4-34,89-122
3mp6A05 2.30.30.140.16 A.451-517
4ns5A02 2.30.30.140.17 A.123-212
3ceyB02 2.30.30.140.18 B.168-271
4iupA02 2.30.30.140.19 A.63-134
2g3rA01 2.30.30.140.20 A.5-58
6bybA02 2.30.30.140.21 A.36-136
3sd4A00 2.30.30.140.22 A.1-69
1khcA01 2.30.30.140.23 A.5-69
3mtvA01 2.30.31.30.1 A.1-80
1amuA03 2.30.38.10.2 A.346-426
2h4pA02 2.30.39.10.20 A.226-327
4r9iA02 2.30.39.10.21 A.184-283
1sekA02 2.30.39.10.22 A.172-278,325-334
1mtpA02 2.30.39.10.23 A.166-256
4r85A01 2.30.40.10.25 A.1-51,361-405
2gwnA01 2.30.40.10.26 A.1-61,380-394,419-440
2q09A01 2.30.40.10.27 A.4-66,366-407
4aqlA01 2.30.40.10.28 A.31-98,410-472
4yiwB01 2.30.40.10.29 B.24-76,390-449
6akqA01 2.30.42.10.62 A.4-94
4reyA01 2.30.42.10.63 A.15-113
2vsvB00 2.30.42.10.64 B.1-104
1kwaA00 2.30.42.10.65 A.1-88
4q2pA00 2.30.42.10.66 A.2-99
3nghA00 2.30.42.10.67 A.1-106
1y8tA03 2.30.42.10.68 A.227-314
5dthD01 2.30.42.10.69 D.5-108
2r4hC01 2.30.42.10.70 C.22-109
3pv2A03 2.30.42.10.71 A.364-451
2qt5A01 2.30.42.10.72 A.4-100
1te0A03 2.30.42.10.73 A.219-318
4ic6B03 2.30.42.10.74 B.257-366
5c8qB01 2.30.60.10.3 B.4-57,104-154
2hq9B00 2.30.110.10.43 B.3-148
2fhqA00 2.30.110.10.44 A.6-140
4y9iA00 2.30.110.10.45 A.1-114
2hq7B00 2.30.110.10.46 B.3-144
3h96C00 2.30.110.10.47 C.6-143
3hmzA00 2.30.110.10.48 A.9-199
2hhzA00 2.30.110.10.49 A.3-150
2ptfA01 2.30.110.10.50 A.17-165
1gk9B02 2.30.120.10.1 B.73-145
1sgvA02 2.30.130.10.16 A.228-290
2ausA01 2.30.130.10.17 A.12-38,243-334
3u28A01 2.30.130.10.18 A.5-51,259-350
3zv0C01 2.30.130.10.19 C.26-66,67-186
3o4fC01 2.30.140.10.10 C.10-60
5ysnA01 2.30.170.30.1 A.1-54
4yx1A00 2.30.330.10.1 A.1-69
1eptB00 2.40.10.10.117 B.1-82
1zyoA01 2.40.10.10.118 A.4-15,101-189
3po1B00 2.40.10.10.119 B.1-147
6fezA02 2.40.10.10.120 A.17-110
3f1sB02 2.40.10.10.121 B.54-155
4lk4A01 2.40.10.10.122 A.10-22,119-245
4lk4A02 2.40.10.10.123 A.23-118
2xxlA02 2.40.10.10.124 A.105-130,242-361
1k28D01 2.40.10.10.125 D.4-116
3govB02 2.40.10.10.126 B.13-122,239-251
1te0A02 2.40.10.10.127 A.116-201
2pkaA00 2.40.10.10.128 A.1-80
4igdA03 2.40.10.10.129 A.149-167,278-390
4kkdB04 2.40.10.10.130 B.167-276,409-422
3mh7A02 2.40.10.10.131 A.151-262
5hmaA01 2.40.10.10.132 A.1-87
1l1jA01 2.40.10.10.133 A.1-120
3fanA01 2.40.10.10.134 A.17-89
2b9lA03 2.40.10.10.135 A.118-142,250-369
1mbmA01 2.40.10.10.136 A.2-77
1dleB02 2.40.10.10.137 B.129-277
2w5eA02 2.40.10.10.138 A.89-162
3fanA02 2.40.10.10.139 A.90-163
5lpeB02 2.40.10.10.140 B.16-113,222-231
4durB06 2.40.20.10.6 B.436-541
2vbuA01 2.40.30.30.1 A.3-132
5trdA02 2.40.30.30.2 A.91-225
1nb0A00 2.40.30.30.3 A.1-147
5a89A00 2.40.30.30.4 A.4-154
1mrzB02 2.40.30.30.5 B.160-289
3bnwB00 2.40.30.30.6 B.13-179
3op1B02 2.40.30.30.7 B.190-308
3isxA02 2.40.30.40.1 A.76-164
1y0yA02 2.40.30.40.2 A.72-165
1vheA02 2.40.30.40.3 A.79-166
1vhoA02 2.40.30.40.4 A.72-156
1yloE02 2.40.30.40.5 E.70-153
2fvgA02 2.40.30.40.6 A.65-151
2greF02 2.40.30.40.7 F.74-169
3kl9A02 2.40.30.40.8 A.76-164
1a3wA03 2.40.33.10.5 A.88-189
4eclA01 2.40.37.10.12 A.2-12,234-373
3kw3B01 2.40.37.10.13 B.18-26,239-376
4lusB01 2.40.37.10.14 B.3-13,247-384
3qq8A01 2.40.40.20.9 A.9-106
2e7zA04 2.40.40.20.10 A.567-727
1twfA03 2.40.40.20.11 A.347-373,437-510
2iv2X04 2.40.40.20.12 X.572-688
3stbC00 2.40.50.140.81 C.38-148
2i5hA01 2.40.50.140.82 A.18-89
6hcwA01 2.40.50.140.83 A.21-164
1khiA02 2.40.50.140.84 A.102-173
3f1zI00 2.40.50.140.85 I.18-133
1y14D02 2.40.50.140.86 D.85-171
4glxA04 2.40.50.140.87 A.317-390
2ja9A01 2.40.50.140.88 A.9-91
5jjiE01 2.40.50.140.89 E.5-132
2cfmA03 2.40.50.140.90 A.422-561
1b7yB02 2.40.50.140.91 B.38-153
1kl9A01 2.40.50.140.92 A.3-89
1uwvA01 2.40.50.140.93 A.15-87
3irbA02 2.40.50.140.94 A.78-145
3aqqA00 2.40.50.140.95 A.41-141
2id0A04 2.40.50.140.96 A.558-644
4gnxA00 2.40.50.140.97 A.1-112
1uebA02 2.40.50.140.98 A.64-126
6hmaC01 2.40.50.140.99 C.1-113
3m7nA02 2.40.50.140.100 A.53-138
3kf8B00 2.40.50.140.101 B.2-122
1xjvA01 2.40.50.140.102 A.1-145
3cp0A00 2.40.50.140.103 A.20-82
3oyyA02 2.40.50.140.104 A.67-131
3a74A01 2.40.50.140.105 A.5-145
1vq8A01 2.40.50.140.106 A.2-79
2wg6D00 2.40.50.140.107 D.9-95
1jmcA02 2.40.50.140.108 A.121-244
2wfwA01 2.40.50.140.109 A.7-64
2vl6A02 2.40.50.140.110 A.106-138,187-265
2yv5A01 2.40.50.140.111 A.1-67
1bkbA02 2.40.50.140.112 A.72-136
2vnuD04 2.40.50.140.113 D.671-757
4rg1A02 2.40.50.140.114 A.121-187
3m4pA01 2.40.50.140.115 A.16-127
1cukA01 2.40.50.140.116 A.1-66
1uebA03 2.40.50.140.117 A.127-184
3q8dA01 2.40.50.140.118 A.2-78
4j15A01 2.40.50.140.119 A.41-172
1ckmA02 2.40.50.140.120 A.236-318
4pz7A01 2.40.50.140.121 A.1-8,245-373
2vqeL00 2.40.50.140.122 L.5-129
1xjvA02 2.40.50.140.123 A.146-294
3cqzH00 2.40.50.140.124 H.2-146
4glaC00 2.40.50.140.125 C.18-107
4oonA03 2.40.50.140.126 A.288-391
3hksA02 2.40.50.140.127 A.93-167
2ba0A02 2.40.50.140.128 A.50-136
3psgA01 2.40.70.10.22 A.45-214
3slzA00 2.40.70.10.23 A.18-131
5c9fA00 2.40.70.10.24 A.1-132
1t6eX01 2.40.70.10.25 X.1-180
2pmaA01 2.40.70.10.26 A.1-136
2oseA00 2.40.100.10.10 A.1-214
3va7A04 2.40.100.10.11 A.662-820
1u8vA02 2.40.110.10.12 A.144-276
1r2jA02 2.40.110.10.13 A.107-212
1pbyA02 2.40.128.120.1 A.169-274
1jmxA02 2.40.128.120.2 A.175-283
3aehA00 2.40.128.130.1 A.1-308
1uynX00 2.40.128.130.2 X.10-308
3kvnA02 2.40.128.130.3 A.325-632
4meeA00 2.40.128.130.4 A.145-469
3qq2B00 2.40.128.130.5 B.19-284
3fidA00 2.40.128.140.1 A.1-296
1w5rA02 2.40.128.150.1 A.89-188
4guzA02 2.40.128.150.2 A.95-197
1w4tA02 2.40.128.150.3 A.109-207
2i5vO01 2.40.128.160.1 O.6-105
3ckfA01 2.40.128.160.2 A.6-81
2af5A01 2.40.128.160.3 A.6-59
3mx7A00 2.40.128.180.1 A.1-90
2kd2A01 2.40.128.180.2 A.11-94
2bt9C01 2.40.128.190.1 C.2-84
3oe3C00 2.40.128.200.1 C.3-90
2g6yB00 2.40.155.10.9 B.1-216
2hpwA00 2.40.155.10.10 A.5-233
3njtA01 2.40.160.50.4 A.15-42,220-566
3pguA00 2.40.160.60.1 A.1-425
3dwoX00 2.40.160.60.2 X.1-444
3bs0A00 2.40.160.60.3 A.5-436
3dzmB00 2.40.160.70.1 B.7-214
5nqzA02 2.40.160.90.1 A.134-269
4b7oA02 2.40.170.20.4 A.172-745
1fepA02 2.40.170.20.5 A.152-724
1u5uA00 2.40.180.10.4 A.3-368
2egvA01 2.40.240.20.2 A.1-66
3kw2A01 2.40.240.20.3 A.5-72
4j3cB01 2.40.240.20.4 B.30-98
4y4qA00 2.40.260.10.6 A.59-242
2oqzA00 2.40.260.10.7 A.4-223
1ow1A00 2.40.290.10.1 A.26-195
2dc4A00 2.40.320.10.5 A.1-164
6fasA00 2.40.330.10.4 A.1-110
3ne5B01 2.40.420.20.3 B.94-102,324-400
4lpqA02 2.40.440.10.2 A.79-207
4qa8A00 2.50.20.20.1 A.20-229
5zwlE01 2.60.15.10.2 E.1-88
1npsA00 2.60.20.10.11 A.1-88
3so1E00 2.60.20.10.12 E.3-90
4fd9A00 2.60.20.10.13 A.1-92
3dqgC00 2.60.34.10.3 C.4-151
2qzqA00 2.60.40.150.28 A.1-152
5dxtA02 2.60.40.150.29 A.221-372
4npjB02 2.60.40.150.30 B.150-298
3fdwA00 2.60.40.150.31 A.6-135
2z0uA00 2.60.40.150.32 A.28-155
1djxA03 2.60.40.150.33 A.494-624
6iejA00 2.60.40.150.34 A.2-127
2q0zX03 2.60.40.150.35 X.218-332
4qamB00 2.60.40.150.36 B.12-198
4f92B06 2.60.40.150.37 B.780-888
5dcaA08 2.60.40.150.38 A.996-1105
3l4cA00 2.60.40.150.39 A.26-210
3ohmB04 2.60.40.150.40 B.717-881
2yrbA01 2.60.40.150.41 A.17-151
1ugkA00 2.60.40.150.42 A.1-138
1wfmA00 2.60.40.150.43 A.1-138
1wfjA01 2.60.40.150.44 A.8-131
1f86A00 2.60.40.180.1 A.1-115
3iwvB00 2.60.40.180.2 B.22-138
4q14A00 2.60.40.180.3 A.22-139
3qvaA00 2.60.40.180.4 A.1-116
3f7lA00 2.60.40.200.1 A.1-151
4l05A00 2.60.40.200.2 A.1-154
5kbmA00 2.60.40.200.3 A.5-156
1xtmA00 2.60.40.200.4 A.19-170
1ej8A00 2.60.40.200.5 A.1-140
2jlpB00 2.60.40.200.6 B.39-204
1pzsA00 2.60.40.200.7 A.38-208
4u4iA00 2.60.40.200.8 A.9-161
5j07A00 2.60.40.200.9 A.1-115
2mcmA00 2.60.40.230.1 A.1-112
1akpA00 2.60.40.230.2 A.1-114
5dhdA00 2.60.40.290.1 A.3-100
3ndzE00 2.60.40.290.2 E.1-107
1c7sA01 2.60.40.290.3 A.1-142
1hehC00 2.60.40.290.4 C.1-88
1a3qA01 2.60.40.340.1 A.1-179
1p7hL01 2.60.40.340.2 L.5-177
1uurA02 2.60.40.340.3 A.119-251
5kvfE00 2.60.40.350.1 E.6-110
3vttA00 2.60.40.350.2 A.5-104
2v33A00 2.60.40.350.3 A.1-91
6j5dA00 2.60.40.350.4 A.4-97
6hwrA01 2.60.40.380.1 A.20-116
2yeqA01 2.60.40.380.2 A.1-109
2bw4A01 2.60.40.420.1 A.7-158
4e9sA02 2.60.40.420.2 A.147-298
3ziyA01 2.60.40.420.3 A.4-159
2calA00 2.60.40.420.4 A.2-154
4e9sA01 2.60.40.420.5 A.1-146
6evgA03 2.60.40.420.6 A.320-507
4e9xB01 2.60.40.420.7 B.2-129,292-317
5akrA02 2.60.40.420.8 A.197-363
4e9sA03 2.60.40.420.9 A.317-489
6ri6A01 2.60.40.420.10 A.1-133
4e9xA02 2.60.40.420.11 A.130-291
6evgA02 2.60.40.420.12 A.154-319
2q9oA01 2.60.40.420.13 A.1-158
3ziyA02 2.60.40.420.14 A.160-332
4w9zA00 2.60.40.420.15 A.1-138
6ri6A02 2.60.40.420.16 A.134-313
2ccwA00 2.60.40.420.17 A.1-129
5ztdA00 2.60.40.420.18 A.1-124
5e9nA03 2.60.40.420.19 A.314-495
5zlmA03 2.60.40.420.20 A.357-511
6iqxA03 2.60.40.420.21 A.342-478
3t9wA01 2.60.40.420.22 A.27-165
2ov0A00 2.60.40.420.23 A.1-105
1qhqA00 2.60.40.420.24 A.2-140
2xu9A01 2.60.40.420.25 A.1-134
4w1tC02 2.60.40.420.26 C.151-286
3gdcB01 2.60.40.420.27 B.3-158
3t9wA02 2.60.40.420.28 A.166-296
4uf7E00 2.60.40.420.29 E.4-146
3zx1A03 2.60.40.420.30 A.332-481
2wsdA01 2.60.40.420.31 A.2-175
4knuA02 2.60.40.420.32 A.127-285
2cuaB00 2.60.40.420.33 B.1-135
2q9oA02 2.60.40.420.34 A.159-342
5i5mA02 2.60.40.420.35 A.509-628
2gsmB02 2.60.40.420.36 B.106-258
3njnA00 2.60.40.420.37 A.6-119
2xu9A02 2.60.40.420.38 A.135-311
4dp9X00 2.60.40.420.39 X.1-99
3zx1A01 2.60.40.420.40 A.11-170
3zx1A02 2.60.40.420.41 A.171-331
2uxtA01 2.60.40.420.42 A.3-137
3gdcA02 2.60.40.420.43 A.159-288
2wsdA02 2.60.40.420.44 A.176-356
5n0kA02 2.60.40.420.45 A.211-360
4knuA01 2.60.40.420.46 A.1-126
3abgA02 2.60.40.420.47 A.168-320
1aozA01 2.60.40.420.48 A.1-130
1shxA00 2.60.40.420.49 A.1-138
5lwxA02 2.60.40.420.50 A.173-363
2uxtA03 2.60.40.420.51 A.319-444
1cyxA00 2.60.40.420.52 A.15-172
4f7kA02 2.60.40.420.53 A.127-274
6iqxA02 2.60.40.420.54 A.23-160,479-538
1jerA00 2.60.40.420.55 A.1-110
1ibyA00 2.60.40.420.56 A.1-112
3abgB01 2.60.40.420.57 B.1-162
3aw5A02 2.60.40.420.58 A.126-303
4f2eA00 2.60.40.420.59 A.1-98
1ws8A00 2.60.40.420.60 A.1-104
3sqrA03 2.60.40.420.61 A.381-580
4f7kA01 2.60.40.420.62 A.2-126
2q9oA03 2.60.40.420.63 A.343-559
1kdjA00 2.60.40.420.64 A.1-102
5tk4A00 2.60.40.420.65 A.9-100
5fc9A00 2.60.40.420.66 A.1-95
1sddB01 2.60.40.420.67 B.2-186
4f7kA03 2.60.40.420.68 A.275-416
5n0kA05 2.60.40.420.69 A.719-901
2dv6A01 2.60.40.420.70 A.24-136
3abgB03 2.60.40.420.71 B.333-518
3gyrA01 2.60.40.420.72 A.7-193
1aozA02 2.60.40.420.73 A.131-336
1sddA01 2.60.40.420.74 A.1-181
3gyrA03 2.60.40.420.75 A.398-598
1aozA03 2.60.40.420.76 A.337-552
1sddB02 2.60.40.420.77 B.187-326
1zpuA02 2.60.40.420.78 A.127-306
3gyrA02 2.60.40.420.79 A.194-397
4bxsV02 2.60.40.420.80 V.179-306
1zpuA03 2.60.40.420.81 A.307-504
2r7eA04 2.60.40.420.82 A.568-726
2r7eA02 2.60.40.420.83 A.192-335
