1oaiA00 1.10.8.10.1 A.1-59
5m4yA00 1.20.58.70.2 A.2-194
1ez3A00 1.20.58.70.3 A.3-126
2xheB01 1.20.58.70.4 B.40-261
2dnxA00 1.20.58.70.5 A.1-130
2d8dB00 1.20.59.10.1 B.3-85
5hubA00 1.20.59.10.2 A.8-86
6ibeA02 1.20.80.10.1 A.84-191
4cmhA01 1.20.82.10.1 A.4-72,100-155
3u7qB03 1.20.89.10.1 B.321-364,485-523
2ykzA00 1.20.120.10.1 A.2-127
4jeaA00 1.20.120.10.2 A.1-106
3vrcA00 1.20.120.10.3 A.2-131
256bA00 1.20.120.10.4 A.1-106
1mqvA00 1.20.120.10.5 A.1-123
2ccyA00 1.20.120.10.6 A.2-128
1cpqA00 1.20.120.10.7 A.1-129
1s05A00 1.20.120.10.8 A.1-129
1gs9A00 1.20.120.20.1 A.22-165
3r2pA01 1.20.120.20.2 A.4-139
1ya9A00 1.20.120.20.3 A.3-176
3s84A02 1.20.120.20.4 A.94-250
1aepA00 1.20.120.20.5 A.6-158
1eq1A00 1.20.120.20.6 A.1-166
2a01C01 1.20.120.20.7 C.8-192
4z9hB00 1.20.120.30.1 B.36-193
2d4uB00 1.20.120.30.2 B.11-165
3t9oB00 1.20.120.30.3 B.8-127
4xpxA00 1.20.120.50.1 A.1-130
2mhrA00 1.20.120.50.2 A.1-118
3agtA00 1.20.120.50.3 A.4-136
6i5aA00 1.20.120.70.1 A.2-154
1cgmE00 1.20.120.70.2 E.2-161
5b1aC02 1.20.120.80.1 C.71-261
2yevA03 1.20.120.80.2 A.608-791
1fftC00 1.20.120.80.3 C.19-203
1ls1A01 1.20.120.140.1 A.2-90
1vmaA01 1.20.120.140.2 A.13-95
3b9qA01 1.20.120.140.3 A.1-91
2qy9A01 1.20.120.140.4 A.2-90
1zu4A01 1.20.120.140.5 A.6-96
1j8mF01 1.20.120.140.6 F.3-89
1rj9A01 1.20.120.140.7 A.27-95,292-303
3e70C01 1.20.120.140.8 C.8-115
2q9bB01 1.20.120.140.9 B.1-79,292-304
2iylD01 1.20.120.140.10 D.1-68
2v3cC01 1.20.120.140.11 C.1-88,284-308
5zw7A03 1.20.140.10.1 A.232-383
3swoA03 1.20.140.10.2 A.245-398
3bnjA02 1.20.140.10.3 A.294-435
2d29A03 1.20.140.10.4 A.236-384
5jscA03 1.20.140.10.5 A.258-398
3p4tA03 1.20.140.10.6 A.251-400
4oltB01 1.20.141.10.1 B.12-37,133-248
4zzxA01 1.20.142.10.1 A.11-145
3bb0A01 1.20.144.10.1 A.4-178
5ii8A00 1.20.150.10.1 A.6-136
3x0uB01 1.20.190.10.1 B.21-263
1gkmA02 1.20.200.10.1 A.195-506
4rgdA00 1.20.225.10.1 A.1-70
4wfoA05 1.20.245.10.1 A.510-856
3bgeA01 1.20.272.10.1 A.4-99
3cx5C00 1.20.810.10.1 C.1-385
5a0yA03 1.20.840.10.1 A.277-536
3g36B00 1.20.890.10.1 B.2-52
2izxB00 1.20.890.10.2 B.1-41
4yonA01 1.20.900.10.1 A.35-250
2z0qA01 1.20.900.10.2 A.11-216
3b5oA00 1.20.910.10.1 A.1-237
1wzdA00 1.20.910.10.2 A.7-215
5ig6A00 1.20.920.10.1 A.1-115
5i86A00 1.20.920.10.2 A.3-117
5fg6A00 1.20.920.10.3 A.3-120
4qb3A01 1.20.920.10.4 A.19-123
6g5pB02 1.20.920.10.5 B.61-177
4pklA00 1.20.920.10.6 A.1-110
3nfqB02 1.20.930.10.1 B.43-150
1dvkA00 1.20.940.10.1 A.1-169
1kqfC00 1.20.950.20.1 C.2-217
3ax2A00 1.20.960.10.1 A.4-73
1om2A00 1.20.960.10.2 A.1-95
2elcA01 1.20.970.10.1 A.1-67
3t92A00 1.20.1020.10.1 A.7-119
4mf5A02 1.20.1050.10.1 A.128-243
4jedA02 1.20.1050.10.2 A.106-219
3r2qA02 1.20.1050.10.3 A.79-191
5y9zA02 1.20.1050.10.4 A.76-183
3ir4A02 1.20.1050.10.5 A.93-218
4kdxA02 1.20.1050.10.6 A.106-224
5yvnA02 1.20.1050.10.7 A.103-217
2ycdA02 1.20.1050.10.8 A.102-218
4pqhA02 1.20.1050.10.9 A.105-221
4zbdA02 1.20.1050.10.10 A.92-220
5j41A02 1.20.1050.10.11 A.79-186
3vurA02 1.20.1050.10.12 A.76-188
6fbcA02 1.20.1060.10.1 A.156-272
5zimA00 1.20.1070.10.1 A.1-228
5ax0A00 1.20.1070.10.2 A.9-242
4xtlA00 1.20.1070.10.3 A.2-273
2jafA00 1.20.1070.10.4 A.22-263
3zojA00 1.20.1080.10.1 A.11-273
5br4A02 1.20.1090.10.1 A.187-385
3ar4A02 1.20.1110.10.1 A.56-113,242-346,747-995
1epwA02 1.20.1120.10.1 A.444-475,532-830
2c0gA02 1.20.1150.12.1 A.137-242
4phqA00 1.20.1170.10.1 A.1-291
5vfbA03 1.20.1220.12.1 A.589-728
1jadA00 1.20.1230.10.1 A.6-247
5oy0000 1.20.1240.10.1 0.1-154
2d48A00 1.20.1250.10.1 A.1-129
3piwA00 1.20.1250.10.2 A.6-159
1lk3A00 1.20.1250.10.3 A.15-157
3d85C00 1.20.1250.10.4 C.9-168
3dlqI00 1.20.1250.10.5 I.12-151
4o6kA00 1.20.1250.10.6 A.1-143
4zf7B00 1.20.1250.10.7 B.6-132
1bgcA00 1.20.1250.10.8 A.8-172
6b8fA00 1.20.1260.10.1 A.5-176
4cvrA00 1.20.1260.10.2 A.2-157
5j93A00 1.20.1260.10.3 A.2-172
1lb3A00 1.20.1260.10.4 A.2-180
3ak8F00 1.20.1260.10.5 F.9-167
2c2uA00 1.20.1260.10.6 A.30-207
2gyqA00 1.20.1260.10.7 A.3-171
4f01A02 1.20.1270.10.1 A.158-236
3t47A00 1.20.1270.10.2 A.9-79
3t49A00 1.20.1270.10.3 A.4-73
1dkxA02 1.20.1270.10.4 A.136-215
2qffA00 1.20.1270.10.5 A.9-82
3lofA00 1.20.1270.10.6 A.2-85
1u00A02 1.20.1270.10.7 A.132-227
6asyA05 1.20.1270.10.8 A.507-606
1mtyG01 1.20.1280.10.1 G.1-68
3uo3A02 1.20.1280.20.1 A.96-180
1fpoC02 1.20.1280.20.2 C.80-170
2rkhA02 1.20.1280.20.3 A.103-180
2oyoA02 1.20.1290.10.1 A.72-196
2h88C02 1.20.1300.10.1 C.33-140
4ysxD00 1.20.1300.10.2 D.28-156
2wzkA01 1.20.1310.10.1 A.12-146
1wp9B03 1.20.1320.20.1 B.212-341
3sk7A00 1.20.1380.10.1 A.2-116
3v53E00 1.20.1390.10.1 E.12-114
1r0dB00 1.20.1410.10.1 B.8-197
4w8pA01 1.20.1420.10.1 A.1-100,231-301
3p0bA02 1.20.1430.10.1 A.434-537
2etdA00 1.20.1440.20.1 A.11-160
2qgmA03 1.20.1440.30.1 A.175-301
3b55A03 1.20.1440.30.2 A.176-302
2hgkA01 1.20.1440.40.1 A.1-105
2qsbA00 1.20.1440.50.1 A.5-89
1u7lA02 1.20.1460.10.1 A.50-171,262-322
4zi3D00 1.20.1520.10.1 D.3-130
1zcdA00 1.20.1530.10.1 A.9-384
2vf7A02 1.20.1580.10.1 A.103-160,286-380
2q9rA01 1.20.1590.10.1 A.5-199
4dx5C01 1.20.1640.10.1 C.1-37,329-510
1xfiA02 1.20.1700.10.1 A.28-117
4uafB00 1.25.10.10.1 B.9-433
5klaA00 1.25.10.10.2 A.1-337
3k62A00 1.25.10.10.3 A.5-404
5izaA00 1.25.10.10.4 A.6-346
1g3jC00 1.25.10.10.5 C.91-532
3o2tA00 1.25.10.10.6 A.21-331
3l6xA01 1.25.10.10.7 A.49-495
1ibrD00 1.25.10.10.8 D.2-439
5bz1A00 1.25.10.10.9 A.3-399
4rv1D00 1.25.10.10.10 D.1-415
3ro3A00 1.25.40.10.1 A.4-162
3ckcA02 1.25.40.10.2 A.186-283,388-466
4ga2A00 1.25.40.10.3 A.7-150
4wuyA03 1.25.40.10.4 A.242-433
3vtxA00 1.25.40.10.5 A.4-184
4me2A00 1.25.40.10.6 A.44-237
3as8A01 1.25.40.10.7 A.9-184
2ff4A02 1.25.40.10.8 A.107-288
2fbnA00 1.25.40.10.9 A.22-174
3ly7A02 1.25.40.10.10 A.211-371
5m72A00 1.25.40.10.11 A.2-151
1hh8A00 1.25.40.10.12 A.2-193
4leuA00 1.25.40.10.13 A.71-252
3sz7A00 1.25.40.10.14 A.1-151
4y6wA00 1.25.40.10.15 A.4-214
3rjvA01 1.25.40.10.16 A.4-147
5lypA00 1.25.40.10.17 A.3-139
4nrhB00 1.25.40.10.18 B.7-176
4apoB00 1.25.40.10.19 B.7-160
3q49B00 1.25.40.10.20 B.6-137
1ihgA02 1.25.40.10.21 A.221-365
2vq2A00 1.25.40.10.22 A.4-223
2pziA04 1.25.40.10.23 A.352-376,519-677
2yhcA00 1.25.40.10.24 A.3-225
4h7yA00 1.25.40.10.25 A.10-150
2e2eA01 1.25.40.10.26 A.27-177
4yvoA00 1.25.40.10.27 A.47-165
2xevB00 1.25.40.10.28 B.2-125
3upvA00 1.25.40.10.29 A.1-125
3urzA00 1.25.40.10.30 A.3-207
2xcbA00 1.25.40.10.31 A.9-141
4horA01 1.25.40.10.32 A.1-133
1na0A00 1.25.40.10.33 A.7-125
4i17A00 1.25.40.10.34 A.4-226
3gw4A00 1.25.40.10.35 A.7-198
1elwA00 1.25.40.10.36 A.2-118
2vsyA01 1.25.40.10.37 A.21-162
3gz1A00 1.25.40.10.38 A.8-151
3fp3A01 1.25.40.10.39 A.7-147
1klxA00 1.25.40.10.40 A.3-135
1a17A00 1.25.40.10.41 A.4-162
4bt9A02 1.25.40.10.42 A.108-237
2ouxA01 1.25.60.10.1 A.4-134
4ayoA00 1.50.10.10.1 A.6-439
4cj0A02 1.50.10.10.2 A.113-551
1h12A00 1.50.10.10.3 A.1-404
1kwfA00 1.50.10.10.4 A.1-363
4zh5A00 1.50.10.10.5 A.2-426
3wkgA00 1.50.10.10.6 A.3-412
5yj6A01 1.50.10.10.7 A.5-94,141-155,225-299,316-547,614-635
5m7yA01 1.50.10.10.8 A.2-423
2zblB00 1.50.10.10.9 B.1-420
6g00A01 1.50.10.10.10 A.5-389
1okcA00 1.50.40.10.1 A.2-293
1h8pA02 2.10.10.10.1 A.66-109
1bx7A00 2.10.22.10.1 A.3-53
3sovA02 2.10.25.10.1 A.263-309
5jb9E00 2.10.25.10.2 E.1-51
1uzkA01 2.10.25.10.3 A.1-45
3kl6B00 2.10.25.10.4 B.5-54
3c9aC00 2.10.25.10.5 C.3-50
1uzkA03 2.10.25.10.6 A.121-162
5l0vB00 2.10.25.10.7 B.3-42
1nziB02 2.10.25.10.8 B.118-159
5lf2A03 2.10.25.10.9 A.269-315
3wvtA01 2.10.50.10.1 A.5-60
4m4pA03 2.10.50.10.2 A.237-300
2h9gS00 2.10.50.10.3 S.21-84
3me4B02 2.10.50.10.4 B.114-192
2j8bA00 2.10.60.10.1 A.1-78
1v6pA00 2.10.60.10.2 A.1-62
4k12A00 2.10.70.10.1 A.1-64
2ybyA02 2.10.70.10.2 A.66-123
3tvjA01 2.10.70.10.3 A.7-74
1h03P02 2.10.70.10.4 P.63-123
3erbA02 2.10.70.10.5 A.67-126
3erbA03 2.10.70.10.6 A.127-186
1h03P01 2.10.70.10.7 P.1-62
1mkkB00 2.10.90.10.1 B.1-94
2askA00 2.10.90.10.2 A.13-113
4hi8B00 2.10.110.10.1 B.1-72
1rutX01 2.10.110.10.2 X.4-67,163-176
1rutX02 2.10.110.10.3 X.68-162
4gy7A03 2.10.150.10.1 A.150-262
1ppjI00 2.10.210.10.1 I.32-78
4c9rD00 2.10.220.10.1 D.8-114
1nltA02 2.10.230.10.1 A.41-106
1jhnA02 2.10.250.10.1 A.226-371
2f6eA00 2.10.270.10.1 A.1-125
4x36A02 2.10.270.10.2 A.183-318
4gv5A00 2.20.20.10.1 A.1-42
1zlhB02 2.20.20.10.2 B.39-74
1b8wA00 2.20.20.10.3 A.1-42
6d9nB01 2.20.25.10.1 B.6-52
3i07B01 2.20.25.10.2 B.1-51
2de6A03 2.20.25.10.3 A.67-121
2hf1A01 2.20.25.10.4 A.8-62
2f4mA02 2.20.25.10.5 A.81-130
1zb9A01 2.20.25.10.6 A.2-48
1vlaA01 2.20.25.10.7 A.7-48
1twfI01 2.20.25.10.8 I.1-46
2dsxA00 2.20.28.10.1 A.1-52
2pveA00 2.20.28.10.2 A.1-52
1lkoA02 2.20.28.10.3 A.147-191
4me3A03 2.20.28.10.4 A.139-193
1yuzA02 2.20.28.10.5 A.165-202
1pinA01 2.20.70.10.1 A.6-37
5dwsC01 2.20.70.10.2 C.13-47
2f21A01 2.20.70.10.3 A.1-48
3m58A01 2.20.110.10.1 A.4-88
2ra8A01 2.20.140.10.1 A.2-75
5azpA02 2.20.200.10.1 A.80-118,290-331
5kycB02 2.20.210.10.1 B.123-144,165-195
6fmeA03 2.20.220.10.1 A.434-495
1nh2D02 2.30.18.10.1 D.57-117
1dkgB02 2.30.22.10.1 B.138-194
3rioA01 2.30.24.10.1 A.13-80
1g3pA01 2.30.27.10.1 A.1-101,206-217
1unqA00 2.30.29.30.1 A.2-119
5ncgA00 2.30.29.30.2 A.1-113
3aj4A00 2.30.29.30.3 A.1-112
1xodB00 2.30.29.30.4 B.1-118
3pp2A00 2.30.29.30.5 A.9-123
2y8gB00 2.30.29.30.6 B.13-133
4wsfA00 2.30.29.30.7 A.3-113
4a6hA00 2.30.29.30.8 A.2-118
1fgyA00 2.30.29.30.9 A.1-126
1upqA00 2.30.29.30.10 A.3-109
1eazA00 2.30.29.30.11 A.12-115
2dtcA00 2.30.29.30.12 A.1-116
4tyzA00 2.30.29.30.13 A.1-109
3f5rA00 2.30.29.30.14 A.20-132
2p8vA00 2.30.29.30.15 A.1-117
5j3tA00 2.30.29.30.16 A.5-130
2i5fA00 2.30.29.30.17 A.3-109
5d7uA00 2.30.30.10.1 A.5-57
4fw1A02 2.30.30.10.2 A.168-221
5tc2A00 2.30.30.10.3 A.2-56
4fyyB02 2.30.30.20.1 B.101-153
2ywwB02 2.30.30.20.2 B.99-149
4amcA01 2.30.30.20.3 A.7-52
6b9mC02 2.30.30.30.1 C.75-151
2g3rA02 2.30.30.30.2 A.59-123
5yyaA02 2.30.30.30.3 A.89-164
1khiA01 2.30.30.30.4 A.27-101
1bkbA01 2.30.30.30.5 A.1-71
1x6oA01 2.30.30.30.6 A.27-94
1vq8A02 2.30.30.30.7 A.83-160
3oyyA01 2.30.30.30.8 A.1-66
1uebA01 2.30.30.30.9 A.1-63
2ckkA02 2.30.30.30.10 A.71-127
3p8bB02 2.30.30.30.11 B.87-148
1m1gB03 2.30.30.30.12 B.186-248
3db3A02 2.30.30.30.13 A.86-159
3kbgA03 2.30.30.30.14 A.140-197
4ytlA01 2.30.30.30.15 A.1-50
4ytlA02 2.30.30.30.16 A.51-99
5j3bA01 2.30.30.30.17 A.10-73
6az1E03 2.30.30.30.18 E.172-243
6em3M01 2.30.30.30.19 M.14-96
3j7yD02 2.30.30.30.20 D.167-247
1vq8T00 2.30.30.30.21 T.2-120
3pieC06 2.30.30.30.22 C.893-937,1038-1053
3a5zF01 2.30.30.30.23 F.16-61
5dm7R00 2.30.30.30.24 R.1-110
6em3Y00 2.30.30.30.25 Y.2-126
2kdsA01 2.30.30.30.26 A.1-86
2jngA00 2.30.30.30.27 A.4-80
2e70A00 2.30.30.30.28 A.1-71
2lclA00 2.30.30.30.29 A.1-66
1vx7N01 2.30.30.30.30 N.23-107
1vwxA02 2.30.30.30.31 A.90-169
1vs9S01 2.30.30.30.32 S.1-72
2o9sA00 2.30.30.40.1 A.1-67
1tg0A00 2.30.30.40.2 A.3-68
5o99A00 2.30.30.40.3 A.1-60
2iimA00 2.30.30.40.4 A.1-62
4hvwA00 2.30.30.40.5 A.1-61
2g6fX00 2.30.30.40.6 X.1-59
4j9fA00 2.30.30.40.7 A.1-62
1g2bA00 2.30.30.40.8 A.1-62
2it9A00 2.30.31.10.1 A.1-123
4bg7A00 2.30.31.10.2 A.3-100
1g31A00 2.30.33.40.1 A.5-111
2pbdA02 2.30.36.70.1 A.34-74
5c98B02 2.30.39.10.1 B.181-278,341-371
5nbuA02 2.30.39.10.2 A.178-272,342-376
2arrA02 2.30.39.10.3 A.175-276,349-378
1ra0A01 2.30.40.10.1 A.8-60,369-430
4m51A01 2.30.40.10.2 A.1-56,357-402
3ls9A01 2.30.40.10.3 A.1-57,382-436
5lxxA01 2.30.40.10.4 A.25-78,452-501
4z8jA00 2.30.42.10.1 A.6-101
5e1yA00 2.30.42.10.2 A.1-95
2h3lB00 2.30.42.10.3 B.5-102
2fe5A00 2.30.42.10.4 A.1-94
1r6jA00 2.30.42.10.5 A.1-82
4n6xA00 2.30.42.10.6 A.1-91
3khfA00 2.30.42.10.7 A.3-99
4xhvA00 2.30.42.10.8 A.1-94
2q3gA00 2.30.42.10.9 A.1-89
2w4fA00 2.30.42.10.10 A.3-97
3lnyA00 2.30.42.10.11 A.1-94
5h3jA02 2.30.42.10.12 A.114-207
2r0xA00 2.30.110.10.1 A.3-158
2ecuA00 2.30.110.10.2 A.1-149
2r6vA01 2.30.110.10.3 A.19-182
2q9kA00 2.30.110.10.4 A.5-151
3r5zA00 2.30.110.10.5 A.6-145
3ba3B00 2.30.110.10.6 B.3-145
3pftA00 2.30.110.10.7 A.1-156
3f7eA00 2.30.110.10.8 A.2-129
1i0rA00 2.30.110.10.9 A.1-161
3d79A02 2.30.130.10.1 A.86-178
2cx0A02 2.30.130.10.2 A.89-171
1sqwA02 2.30.130.10.3 A.94-176
2i7cA01 2.30.140.10.1 A.3-59
4yuvA01 2.30.140.10.2 A.15-76
2a6hC04 2.30.150.10.1 C.471-535
1jjdA00 2.30.170.10.1 A.4-55
1o70A01 2.30.180.10.1 A.19-158
5jgfA02 2.30.250.10.1 A.95-244
4q68A02 2.30.260.10.1 A.105-118,153-239
2ra9A02 2.30.270.10.1 A.76-148
3fdeB01 2.30.280.10.1 B.18-206
1wruA01 2.30.300.10.1 A.3-88,177-198,274-340
5avdA02 2.40.10.10.1 A.13-111,228-240
2h5cA02 2.40.10.10.2 A.77-183
5dj7A02 2.40.10.10.3 A.13-102,213-230
4i8hA02 2.40.10.10.4 A.13-102,211-222
4i8hA01 2.40.10.10.5 A.1-12,103-210
3qzrA01 2.40.10.10.6 A.5-18,88-184
1pq7A02 2.40.10.10.7 A.13-102,215-224
4m7gA01 2.40.10.10.8 A.1-12,103-212
1a7sA01 2.40.10.10.9 A.1-12,108-207
4nsvA01 2.40.10.10.10 A.1-24,134-231
4k8yA02 2.40.10.10.11 A.14-104,209-218
4crgA02 2.40.10.10.12 A.13-111,227-237
2f91A02 2.40.10.10.13 A.13-114,227-237
1a7sA02 2.40.10.10.14 A.13-107,208-221
5natA02 2.40.10.10.15 A.13-107,218-228
3nclA02 2.40.10.10.16 A.13-115,230-241
3gylB02 2.40.10.10.17 B.13-108,232-247
4ue7H02 2.40.10.10.18 H.13-117,245-257
5pagB02 2.40.10.10.19 B.13-108,230-243
3tvjB02 2.40.10.10.20 B.13-106,230-242
2jkhA02 2.40.10.10.21 A.13-106,223-234
5avdA01 2.40.10.10.22 A.1-12,112-227
2halA01 2.40.10.10.23 A.1-100,204-212
1a1xA00 2.40.15.10.1 A.3-108
6dcmA00 2.40.20.10.1 A.1-85
3w5hA01 2.40.30.10.1 A.1-117
6gehA01 2.40.30.10.2 A.1-113
4rd4A02 2.40.30.10.3 A.208-322
4tmxA02 2.40.30.10.4 A.233-343
3qftA01 2.40.30.10.5 A.52-104,234-298
5tv2A02 2.40.30.10.6 A.294-405
1cqxA02 2.40.30.10.7 A.151-261
4he6A00 2.40.30.10.8 A.1-89
1f60A03 2.40.30.10.9 A.333-440
4rd4A03 2.40.30.10.10 A.323-415
3lo8A01 2.40.30.10.11 A.10-148
2c78A03 2.40.30.10.12 A.311-404
1krhA02 2.40.30.10.13 A.105-201
1f20A03 2.40.30.10.14 A.26-75,210-272
1rcqA01 2.40.37.10.1 A.1-9,217-357
2vd8A01 2.40.37.10.2 A.5-17,251-391
3x2mA00 2.40.40.10.1 A.1-180
5xbuA00 2.40.40.10.2 A.5-183
4jp6A00 2.40.40.10.3 A.2-122
3sukA00 2.40.40.10.4 A.2-125
3sumB00 2.40.40.10.5 B.1-136
4xdxA00 2.40.50.40.1 A.1-70
4hcsA00 2.40.50.40.2 A.12-78
4cj0B00 2.40.50.40.3 B.13-77
5coyA00 2.40.50.40.4 A.1-65
5ltlA00 2.40.50.40.5 A.11-78
1c8cA00 2.40.50.40.6 A.1-64
4x3kA00 2.40.50.40.7 A.1-64
6ftoA00 2.40.50.40.8 A.1-66
3tn2A00 2.40.50.40.9 A.1-68
5t1iA00 2.40.50.40.10 A.1-68
1nr4C00 2.40.50.40.11 C.4-69
5eq0A00 2.40.50.40.12 A.1-55
2ra4A00 2.40.50.40.13 A.4-68
3gv3A00 2.40.50.40.14 A.1-63
2fhtA00 2.40.50.40.15 A.4-71
5afwA02 2.40.50.40.16 A.105-174
5ob5A00 2.40.50.40.17 A.1-63
1tvxA00 2.40.50.40.18 A.8-71
2hciB00 2.40.50.40.19 B.5-69
4u68A00 2.40.50.40.20 A.8-71
3q6sA00 2.40.50.40.21 A.2-67
1zxtA01 2.40.50.40.22 A.9-69
4haeA00 2.40.50.40.23 A.12-77
5ekiC00 2.40.50.40.24 C.7-76
1f2lA00 2.40.50.40.25 A.5-68
4iupB01 2.40.50.40.26 B.1-62
1o7zA00 2.40.50.40.27 A.9-69
4oijA00 2.40.50.40.28 A.4-74
3lweA00 2.40.50.40.29 A.1-61
1q3lA00 2.40.50.40.30 A.16-67
5cbeF00 2.40.50.40.31 F.8-73
3mtsA00 2.40.50.40.32 A.1-62
5cbeE00 2.40.50.40.33 E.6-69
3d6wB01 2.40.50.40.34 B.2-71
2nyzE00 2.40.50.40.35 E.7-72
2h1eA02 2.40.50.40.36 A.122-176
3g7lA00 2.40.50.40.37 A.5-59
5afwA01 2.40.50.40.38 A.1-93
3deoA01 2.40.50.40.39 A.1-37
5e4wC02 2.40.50.40.40 C.48-105
5ejwA00 2.40.50.40.41 A.9-88
3ui2A03 2.40.50.40.42 A.185-235
2h1eB01 2.40.50.40.43 B.13-121
2epbA00 2.40.50.40.44 A.1-68
1eigA00 2.40.50.40.45 A.1-73
1rjtA00 2.40.50.40.46 A.1-73
2d9uA00 2.40.50.40.47 A.1-74
1bxoA02 2.40.70.10.1 A.171-322
4y9wA02 2.40.70.10.2 A.167-334
4y9wA01 2.40.70.10.3 A.2-166
3q6yA01 2.40.70.10.4 A.5-174
4o8hA00 2.40.100.10.1 A.2-165
5zw7A02 2.40.110.10.1 A.123-229
2uxwA03 2.40.110.10.2 A.164-278
5jscA02 2.40.110.10.3 A.142-257
2x8sA02 2.40.128.10.1 A.376-470
4kcaA03 2.40.128.10.2 A.541-637
1jiwI00 2.40.128.10.3 I.1-105
3kffA00 2.40.128.20.1 A.10-161
4ymyA00 2.40.128.20.2 A.22-174
5hbsA00 2.40.128.20.3 A.1-139
4nyqA00 2.40.128.20.4 A.10-162
4ck4A00 2.40.128.20.5 A.3-162
2x46A00 2.40.128.20.6 A.2-143
5h9nA00 2.40.128.20.7 A.3-156
4tkbA00 2.40.128.20.8 A.1-133
4uu3B00 2.40.128.20.9 B.3-166
4wfvA00 2.40.128.20.10 A.4-156
1lf7A00 2.40.128.20.11 A.10-180
3o22A00 2.40.128.20.12 A.1-160
3l4rA00 2.40.128.20.13 A.7-157
1x8pA00 2.40.128.20.14 A.1-184
1whiA00 2.40.150.20.1 A.1-122
6jgjA00 2.40.155.10.1 A.1-228
5fvnA00 2.40.160.10.1 A.1-342
2fgqX00 2.40.160.10.2 X.3-332
3szvA01 2.40.160.10.3 A.22-401
3vy8X00 2.40.160.10.4 X.15-355
2porA00 2.40.160.10.5 A.1-301
5dl7A00 2.40.160.10.6 A.18-419
4rjwA00 2.40.160.10.7 A.4-429
1af6A00 2.40.170.10.1 A.1-421
4xjwA03 2.40.220.10.1 A.320-417
1qd5A00 2.40.230.10.1 A.19-275
3aiiA03 2.40.240.10.1 A.410-498
1dfuP00 2.40.240.10.2 P.1-94
3wttB00 2.40.250.10.1 B.2-140
2w1jA00 2.40.260.10.1 A.4-198
1twfB06 2.40.270.10.1 B.751-782,799-852,974-1110
1c5eA00 2.40.300.10.1 A.1-95
1nycA00 2.40.310.10.1 A.1-111
6fgdA04 2.40.340.10.1 A.339-419
2q03B00 2.40.350.10.1 B.6-136
2in5A00 2.40.360.10.1 A.3-200
2ichA01 2.40.370.10.1 A.14-200
3exmA01 2.40.380.10.1 A.24-218
4zboC00 2.40.400.10.1 C.1-260
4gipD02 2.40.490.10.1 D.178-266
4ooxA01 2.40.510.10.1 A.1-60,174-308
4mxtA00 2.50.20.10.1 A.2-189
3wjtA00 2.50.20.10.2 A.1-178
4iauA02 2.60.20.10.1 A.80-162
1h4aX02 2.60.20.10.2 X.84-173
2oizH00 2.60.30.10.1 H.12-133
4unuA00 2.60.40.10.1 A.3-111
3pucA00 2.60.40.10.2 A.1-98
2jjuA01 2.60.40.10.3 A.5-116
3teuA00 2.60.40.10.4 A.1-98
2frgP00 2.60.40.10.5 P.1-106
4nzuL02 2.60.40.10.6 L.108-211
1v8hA00 2.60.40.10.7 A.1-106
2yhgA02 2.60.40.10.8 A.328-437
1u2hA00 2.60.40.10.9 A.3-98
1k5nB00 2.60.40.10.10 B.1-100
3d9aL02 2.60.40.10.11 L.109-211
4nzuL01 2.60.40.10.12 L.1-107
3d9aL01 2.60.40.10.13 L.1-108
4exkA03 2.60.40.10.14 A.375-478
4lldB00 2.60.40.10.15 B.2-102
4buhA02 2.60.40.10.16 A.126-244
3esuF02 2.60.40.10.17 F.135-240
3arxA01 2.60.40.10.18 A.1-111
3cx2A00 2.60.40.10.19 A.1-108
5dzoA00 2.60.40.10.20 A.1-107
4trpH01 2.60.40.10.21 H.1-113
4lldA00 2.60.40.10.22 A.3-101
5nigB02 2.60.40.10.23 B.92-197
2bhuA01 2.60.40.10.24 A.14-109
3esuF01 2.60.40.10.25 F.4-111
4ylqT01 2.60.40.10.26 T.1-105
4ylqT02 2.60.40.10.27 T.106-210
4qyoB00 2.60.40.10.28 B.1-111
1k5nA02 2.60.40.10.29 A.182-276
1mqkL00 2.60.40.10.30 L.1-109
4cj0A01 2.60.40.10.31 A.18-112
6eh4D01 2.60.40.10.32 D.1-110
2ic2A00 2.60.40.10.33 A.1-110
2w91A03 2.60.40.10.34 A.538-641
4p49A01 2.60.40.10.35 A.1-123
4kdwA00 2.60.40.10.36 A.22-123
2pndA00 2.60.40.10.37 A.1-119
2p45B00 2.60.40.10.38 B.3-123
4j3vA02 2.60.40.10.39 A.143-247
3d9aH02 2.60.40.10.40 H.114-210
4nzuH02 2.60.40.10.41 H.127-225
3d9aH01 2.60.40.10.42 H.1-113
5ty6L01 2.60.40.10.43 L.1-108
6meeB01 2.60.40.10.44 B.1-108
4jvuA00 2.60.40.10.45 A.2-115
5kvgH02 2.60.40.10.46 H.117-219
1mjuL01 2.60.40.10.47 L.1-113
1ncwH02 2.60.40.10.48 H.120-218
3n9gH02 2.60.40.10.49 H.124-230
2oxgA00 2.60.40.10.50 A.1-108
4qyoA00 2.60.40.10.51 A.1-114
2x1qA00 2.60.40.10.52 A.3-127
5wl1A02 2.60.40.10.53 A.182-282
5nigA02 2.60.40.10.54 A.82-181
3p73B00 2.60.40.10.55 B.1-99
6on6A00 2.60.40.10.56 A.4-111
5hsfA00 2.60.40.10.57 A.4-108
1ogaD01 2.60.40.10.58 D.2-110
2nw2A01 2.60.40.10.59 A.1-110
