3vkgB04 1.10.8.710.1 B.739-869
3zc4A01 1.20.120.1610.1 A.8-65,133-164
4j32B00 1.20.120.1620.1 B.1-101
3zibC00 1.20.120.1620.2 C.6-102
4b6iA00 1.20.120.1620.3 A.3-102
4hfkB00 1.20.120.1620.4 B.1-98
2ygwA01 1.20.140.90.3 A.1-161
3vkgA02 1.20.140.100.1 A.178-329
4akgA02 1.20.140.100.2 A.222-389
3q23A08 1.20.140.110.1 A.816-894,990-1064
2vf1A04 1.20.140.120.1 A.94-192,233-290
4fz4A00 1.20.140.130.1 A.1-154
4hkrA00 1.20.140.140.1 A.12-202
1s2xA00 1.20.190.30.1 A.7-186
1urjA02 1.20.190.40.1 A.547-650,799-911
1k7wA02 1.20.200.10.12 A.126-196,237-366,439-465
5xnyA02 1.20.200.10.13 A.135-399
3ayfA01 1.20.210.10.4 A.17-48,246-777
1mw5A01 1.20.272.30.1 A.17-161
3rc3A02 1.20.272.40.1 A.130-142,458-531
4f7zA04 1.20.870.10.4 A.468-628
2fsfB02 1.20.890.70.1 B.272-302
1foeA01 1.20.900.10.12 A.5-204
1rtwB00 1.20.910.10.21 B.2-209
1rcwB00 1.20.910.10.22 B.7-220
3rm5B02 1.20.910.10.23 B.315-550
3vkgA11 1.20.920.20.3 A.1812-1893,2116-2147
3vkhA11 1.20.920.20.4 A.1894-2235
3vkhB12 1.20.920.20.5 B.1812-1893,2213-2274
4akgA10 1.20.920.30.1 A.1418-1606
3vkgA09 1.20.920.30.2 A.1454-1601
2dlaA01 1.20.930.50.1 A.9-110,165-222
3pt1A02 1.20.930.60.1 A.12-131
2d68A00 1.20.960.40.1 A.5-82
1rrzA00 1.20.970.20.1 A.21-86
1rf8B01 1.20.970.30.1 B.22-90
2qtlA01 1.20.990.10.6 A.67-113,159-290
1z9hA03 1.20.1050.10.90 A.136-286
1nhyA02 1.20.1050.10.91 A.80-219
4ptsB02 1.20.1050.10.92 B.171-347
1bg1A01 1.20.1050.20.1 A.12-195
1y1uA01 1.20.1050.20.2 A.11-205
2o36A01 1.20.1050.40.1 A.9-136
4phzG00 1.20.1050.50.1 G.16-256
3chxC00 1.20.1050.50.2 C.18-176
2ww2A03 1.20.1050.60.1 A.329-423
1svmA02 1.20.1050.70.1 A.106-146,300-376
2ot3A02 1.20.1050.80.1 A.105-268
4jkvB02 1.20.1070.10.28 B.110-472
2z73B01 1.20.1070.10.29 B.10-355
4l6rA02 1.20.1070.10.30 A.107-413
3klyD00 1.20.1080.10.9 D.27-278
1ujnA02 1.20.1090.10.14 A.162-338
1xaiA02 1.20.1090.10.15 A.167-352
3k1rA01 1.20.1160.20.2 A.1-81
3r0sA02 1.20.1180.10.5 A.198-261
1nigA00 1.20.1200.10.5 A.1-148
4lrlB02 1.20.1250.30.2 B.269-391,438-480
2honA02 1.20.1250.30.3 A.269-446
1y14A01 1.20.1250.40.1 A.17-187
3ayhA00 1.20.1250.40.2 A.3-136
2c35A00 1.20.1250.40.3 A.24-152
2ckzC01 1.20.1250.40.4 C.12-68,95-160
3di2A00 1.20.1250.50.1 A.10-154
3lkdB01 1.20.1260.30.3 B.7-191
2ar0A01 1.20.1260.30.4 A.6-116,482-520
2okcB01 1.20.1260.30.5 B.8-127
3m6jA01 1.20.1260.40.1 A.12-137
3ggyA00 1.20.1260.60.1 A.6-191
3frrA00 1.20.1260.60.2 A.4-189
2wwxB00 1.20.1260.70.1 B.18-217
4e40A00 1.20.1260.80.1 A.3-247
3vkhA18 1.20.1270.280.1 A.3051-3233
3vkhB19 1.20.1270.280.2 B.3074-3217
2lm0A01 1.20.1270.290.1 A.25-120
2ewfA02 1.20.1270.310.1 A.305-385
3er9B01 1.20.1270.320.1 B.12-117
2oblA02 1.20.1270.330.1 A.274-347
2rt6A00 1.20.1270.340.1 A.1-98
3a98A02 1.20.1270.350.1 A.88-174
5figA00 1.20.1270.360.1 A.4-108
6co8A05 1.20.1280.260.1 A.405-501
6fqcA02 1.20.1280.270.1 A.291-334
3l0mA02 1.20.1280.280.1 A.252-329
4x5mA00 1.20.1280.290.1 A.2-87
4qndA00 1.20.1280.290.2 A.5-101
3beyD00 1.20.1290.10.13 D.2-95
4g9qA00 1.20.1290.10.14 A.32-269
2zfyA02 1.20.1300.20.1 A.49-192
3bqkA02 1.20.1310.20.1 A.56-219
3rrcA01 1.20.1310.20.2 A.2-176
4cfiA01 1.20.1330.10.4 A.1-104,215-258
1o0sA02 1.20.1370.30.1 A.37-144
4ecgA00 1.20.1420.20.3 A.13-380
3v5uA02 1.20.1420.30.1 A.36-148,197-304
2xmxA01 1.20.1440.280.1 A.2-141
4g75A01 1.20.1440.280.2 A.2-158
3jsbA01 1.20.1440.300.1 A.7-67,160-179
4as2A02 1.20.1440.310.1 A.39-141
4gxtA02 1.20.1440.320.1 A.65-221
1p68A00 1.20.1480.30.2 A.1-102
2xgjB04 1.20.1500.20.1 B.546-608,747-810
5ko2A01 1.20.1560.10.8 A.28-377,653-985
1wp1B01 1.20.1600.10.5 B.33-457
1ohfA01 1.20.1690.20.2 A.61-116,545-561,571-599
2p7nA00 1.20.1710.10.4 A.47-392
4c0qB00 1.25.10.10.77 B.5-922
1wa5C00 1.25.10.10.78 C.1-959
2x19B00 1.25.10.10.79 B.18-954
3zkvA00 1.25.10.10.80 A.54-967
3ibvB00 1.25.10.10.81 B.3-957
3w3uA01 1.25.10.10.82 A.4-625,657-1078
3gjxD00 1.25.10.10.83 D.14-1057
3a6pA00 1.25.10.10.84 A.2-1136
1u6gC00 1.25.10.10.85 C.4-1210
3mx3A01 1.25.40.390.27 A.19-34,71-215,454-490
2awiF02 1.25.40.400.1 F.67-301
2wmoA01 1.25.40.410.1 A.5-149
2yinA01 1.25.40.410.2 A.10-151
4hs2A00 1.25.40.420.1 A.32-95
3hveB02 1.25.40.420.2 B.131-241
3i3nA02 1.25.40.420.3 A.165-270
4hxiA02 1.25.40.420.4 A.145-224
2eqxA01 1.25.40.420.5 A.12-105
2wviA00 1.25.40.430.1 A.1-164
4aezI01 1.25.40.430.2 I.10-198
4a1gB00 1.25.40.430.3 B.4-152
5hayA02 1.25.40.440.1 A.186-264
3i5pA01 1.25.40.450.1 A.24-192
2ovbA02 1.25.40.460.1 A.109-154,255-287
3mkqA03 1.25.40.470.1 A.601-812
3mkqB00 1.25.40.470.2 B.1-177
2ilrA00 1.25.40.480.1 A.3-263
2iqcA00 1.25.40.490.1 A.12-210
2nxpB00 1.25.40.500.1 B.11-155
2j49A00 1.25.40.500.2 A.7-140
2j4bB00 1.25.40.500.3 B.6-138
6b4eA00 1.25.40.510.1 A.1-296
4kt6B00 1.25.40.520.1 B.1-161
3au4A01 1.25.40.530.1 A.18-215
3pvlA01 1.25.40.530.2 A.29-260
2v0pB00 1.25.40.540.1 B.2-234
4iypA01 1.25.40.540.2 A.12-209
3sbtB02 1.25.40.550.1 B.144-317
3zrhA01 1.25.40.560.1 A.2-97
3txnA00 1.25.40.570.1 A.10-362
4lctB00 1.25.40.570.2 B.1-348
3vldA02 1.25.40.580.1 A.333-485
4v3iA00 1.25.40.590.1 A.34-193
4ackB00 1.25.40.590.2 B.1-156
3u66A00 1.25.40.590.3 A.6-178
6nsjA00 1.25.40.600.1 A.1-201
4dlqA02 1.25.40.610.1 A.78-183
4dloB02 1.25.40.610.2 B.73-196
1z3xA01 1.25.40.620.1 A.1-162
4ebaG00 1.25.40.630.1 G.28-110
2l9bA00 1.25.40.630.2 A.15-105
2laiA00 1.25.40.640.1 A.1-101
4kx7A04 1.25.50.20.3 A.557-879
1qazA00 1.50.10.100.5 A.1-351
4ok4A01 1.50.10.100.6 A.30-370
4ozwA00 1.50.10.100.7 A.1-335
1x1iA01 1.50.10.100.8 A.1-361
5jmfA01 1.50.10.100.9 A.10-384
3vsmA01 1.50.10.100.10 A.27-373
1hn0A02 1.50.10.100.11 A.235-618
3a0oA02 1.50.10.100.12 A.128-492
1cb8A01 1.50.10.100.13 A.5-316
3fkeA02 2.10.10.70.1 A.78-129
4oj5A02 2.10.10.80.1 A.96-166
2kb9A00 2.10.25.10.79 A.1-44
2k2sB00 2.10.25.10.80 B.7-61
1ccvA00 2.10.25.10.81 A.1-56
1hx2A00 2.10.25.10.82 A.1-60
2m74A02 2.10.25.10.83 A.70-136
1emnA01 2.10.25.10.84 A.17-43
2m74A01 2.10.25.10.85 A.1-69
1tozA02 2.10.25.10.86 A.44-116
1lmjA00 2.10.25.10.87 A.1-86
2vrsA02 2.10.25.20.1 A.40-79
4mxwS00 2.10.50.10.27 S.25-107
3mi8D02 2.10.50.10.28 D.90-123
3qd6R02 2.10.50.10.29 R.86-125
2n99A00 2.10.60.10.22 A.1-76
2jveA00 2.10.60.10.23 A.21-91
1mr6A00 2.10.60.10.24 A.1-68
2qn5B01 2.10.69.10.4 B.1-67
1u5mA01 2.10.70.10.60 A.9-44
1g44C04 2.10.70.10.61 C.187-230
3ci0J02 2.10.70.20.1 J.114-163
1rlhA01 2.10.70.30.1 A.5-25,127-155
3vwoA02 2.10.70.40.1 A.38-88
2i2lA01 2.10.70.50.1 A.2-53
3fgrA01 2.10.70.60.1 A.17-68
4bwcA01 2.10.70.60.2 A.1-53
3s13A01 2.10.77.10.8 A.46-60,283-322
2n8kA00 2.10.80.10.4 A.1-76
4x1jA00 2.10.90.10.22 A.14-109
3mjkA00 2.10.90.10.23 A.2-160
1m4uA01 2.10.90.10.24 A.12-62,129-206
2hnfA00 2.10.109.10.8 A.1-133
1x6aA01 2.10.110.10.25 A.15-76
2miuA00 2.10.110.10.26 A.1-98
1j2oA00 2.10.110.10.27 A.1-114
4krpA03 2.10.220.10.14 A.491-557
3b2vA01 2.10.220.10.15 A.239-304
1ub4C00 2.10.260.10.5 C.5-79
3hiaA00 2.10.270.10.11 A.14-79
3kezA02 2.20.20.130.3 A.238-266,324-336
3c9aA02 2.20.20.150.1 A.86-146
2pm9A02 2.20.25.400.2 A.386-415
2qkdA01 2.20.25.420.1 A.11-58
2qkdA03 2.20.25.420.2 A.215-265
2vf1A02 2.20.25.440.1 A.25-55,414-430
2w02B04 2.20.25.450.1 B.172-181,296-306
3f3fD01 2.20.25.500.1 D.44-94
3kihC01 2.20.25.510.1 C.3-36
3p5jB01 2.20.25.530.1 B.35-114
3vtnA01 2.20.25.540.1 A.17-48
2z3qD01 2.20.28.230.1 D.24-78
2b5iD02 2.20.28.230.2 D.23-120
2cr8A01 2.20.28.240.1 A.11-36
2m6oA00 2.20.28.270.1 A.1-48
1rp5A01 2.20.70.70.2 A.16-25,183-208
2qrvD02 2.20.70.90.1 D.197-252
2y8nB01 2.20.70.100.1 B.1-42
2y8nB02 2.20.70.100.2 B.43-86
3t5oA01 2.20.100.10.4 A.1-58
2b39A06 2.20.130.20.5 A.558-622,768-826
2ajrA02 2.20.150.10.4 A.21-52,104-124
2ltjA00 2.20.230.10.5 A.1-112
1v5mA00 2.30.29.30.144 A.1-136
2codA01 2.30.29.30.145 A.8-103
1xr0B01 2.30.29.30.146 B.12-102
1mkeA00 2.30.29.30.147 A.1-144
1x1fA00 2.30.29.30.148 A.1-149
2fjlA00 2.30.29.30.149 A.1-150
2kuqA00 2.30.29.30.150 A.1-153
2yt0A01 2.30.29.30.151 A.11-176
3hsaD00 2.30.29.50.1 D.14-126
3b77A01 2.30.29.50.2 A.3-104
5v1yB00 2.30.29.70.1 B.3-115
2z4dA00 2.30.29.70.2 A.1-96
2k49A00 2.30.29.80.1 A.1-118
3hieB01 2.30.29.90.1 B.6-151
4osnA00 2.30.29.100.1 A.15-128
2gumB03 2.30.29.100.2 B.40-53,260-395
2gumC03 2.30.29.100.3 C.40-53,260-395
3fvcA03 2.30.29.100.4 A.53-66,273-368
2nutA02 2.30.30.380.3 A.59-119
2j9uB00 2.30.30.380.4 B.15-61
1pcxA02 2.30.30.380.5 A.49-60,104-169
2pptA01 2.30.30.380.6 A.10-46
4xxbB00 2.30.30.380.7 B.4-45
3eh2A02 2.30.30.380.8 A.29-40,84-153
5ycqA00 2.30.30.390.1 A.3-97
1sg5A01 2.30.30.400.1 A.10-86
3aibB01 2.30.30.420.1 B.3-142,819-843
1y71A00 2.30.30.430.1 A.7-130
2a7yA00 2.30.30.440.1 A.4-83
1kg1A02 2.30.30.460.1 A.29-60
1o75A02 2.30.30.470.1 A.44-155
1r8oB01 2.30.30.480.1 B.1-66
2fl7A00 2.30.30.490.1 A.11-218
4dovA00 2.30.30.490.2 A.5-161
1w4sA00 2.30.30.490.3 A.26-171
5gutA03 2.30.30.490.4 A.164-219,261-379
4ft4B01 2.30.30.490.5 B.5-166
5gutA01 2.30.30.490.6 A.11-139
4bb7B00 2.30.30.490.7 B.15-251
3ptaA03 2.30.30.490.8 A.78-257
3ptaA04 2.30.30.490.9 A.258-305,345-494,682-696
1zq1A01 2.30.30.520.1 A.2-78
2d6fA01 2.30.30.520.2 A.2-85
3urgA02 2.30.30.530.1 A.61-126
3gnfB04 2.30.30.550.1 B.169-221
3gnfB03 2.30.30.550.2 B.117-168
3gf5B07 2.30.30.550.3 B.328-384
3gnfB06 2.30.30.560.1 B.277-327
3gnfB02 2.30.30.560.2 B.55-116
3gf5A01 2.30.30.570.1 A.1-54
2zuoA09 2.30.30.570.2 A.457-519
2x4jA01 2.30.30.600.1 A.24-137
3kxtA00 2.30.30.610.1 A.1-56
2zuoA08 2.30.30.620.1 A.379-456
2kssA01 2.30.30.630.1 A.42-104
5i2mA01 2.30.30.640.1 A.1-17,310-383
3m4yA01 2.30.30.650.1 A.23-72
3n5bB01 2.30.30.660.1 B.26-75
5a0lA01 2.30.30.670.1 A.6-82,182-210
5a0dB01 2.30.30.670.2 B.10-80,157-185
2xi9A02 2.30.30.670.3 A.119-195,297-321
2f5tX02 2.30.30.690.1 X.140-229
2hbpA00 2.30.30.700.1 A.3-68
2hd0A02 2.30.30.710.1 A.96-128
2e12A00 2.30.30.720.1 A.1-93
4bxmB00 2.30.31.50.1 B.17-157
1mdbA03 2.30.38.10.5 A.354-429
4if8A02 2.30.39.10.32 A.215-309
1k9oI02 2.30.39.10.33 I.172-278,325-378
5ncsA02 2.30.39.10.34 A.172-266,326-369
5inwA02 2.30.39.10.35 A.252-349,409-418
2pajA01 2.30.40.10.40 A.10-71,402-458
2qs8A01 2.30.40.10.41 A.7-65,373-412
1gkrB01 2.30.40.10.42 B.1-54,376-451
2ftyA01 2.30.40.10.43 A.1-55,436-453,489-509
2imrA01 2.30.40.10.44 A.36-47,53-92,402-418
1x5rA01 2.30.42.10.101 A.14-106
2dkrA00 2.30.42.10.102 A.1-93
2ogpA00 2.30.42.10.103 A.1-97
2kbsA00 2.30.42.10.104 A.1-92
1m5zA00 2.30.42.10.105 A.1-91
1x6dA01 2.30.42.10.106 A.14-104
2l97A01 2.30.42.10.107 A.29-127
1wh1A01 2.30.42.10.108 A.17-106
1wg6A01 2.30.42.10.109 A.22-121
1wi4A01 2.30.42.10.110 A.15-103
1p1eA00 2.30.42.10.111 A.1-101
2edpA01 2.30.42.10.112 A.9-94
2hgaA01 2.30.42.10.113 A.23-107
2y1sA00 2.30.60.10.6 A.1-108
3in6A02 2.30.110.10.67 A.31-147
3kyfA01 2.30.110.10.68 A.1-114
2re7A00 2.30.110.10.69 A.3-134
2ol5A00 2.30.110.10.70 A.11-198
2htiA00 2.30.110.10.71 A.11-166
4ybnB00 2.30.110.10.72 B.16-220
1ejeA00 2.30.110.10.73 A.1-192
4hkhA00 2.30.110.20.1 A.2-158
1fm2B03 2.30.120.10.4 B.76-141
1zboA01 2.30.130.40.3 A.2-114
1uoyA01 2.30.130.50.1 A.8-64
3m6wA03 2.30.130.60.1 A.394-460
3m4xA03 2.30.130.60.2 A.399-455
3zfpA02 2.30.140.40.1 A.80-136
2jz6A01 2.30.170.40.3 A.24-73
5xrwA00 2.30.330.10.4 A.1-79
2lt1A00 2.40.10.170.10 A.1-75
2lt4A00 2.40.10.170.11 A.1-71
1k0hA00 2.40.10.180.1 A.1-117
6em3f00 2.40.10.190.1 f.2-107
4ac9C04 2.40.10.190.2 C.403-482
2lp6A00 2.40.10.190.3 A.1-91
2ipqX02 2.40.10.200.1 X.24-44,78-134
2pp6A02 2.40.10.210.1 A.26-96
4rt1A00 2.40.10.220.1 A.1-108
2rdeA02 2.40.10.220.2 A.136-246
5xlyB00 2.40.10.220.3 B.4-124
5kecD02 2.40.10.220.4 D.110-235
3kyfA02 2.40.10.220.5 A.115-231
4i86A00 2.40.10.220.6 A.5-106
3cnrB00 2.40.10.220.7 B.8-106
4p02A03 2.40.10.220.8 A.586-707
3u28C00 2.40.10.230.1 C.23-114
2ey4D00 2.40.10.230.2 D.8-82
2v3mB00 2.40.10.230.3 B.15-113
2eqnA01 2.40.10.230.4 A.17-103
1vkyB02 2.40.10.240.1 B.76-154
1yy3A02 2.40.10.240.2 A.68-166
2j98A01 2.40.10.250.1 A.9-108
5c94A00 2.40.10.250.2 A.1-116
2dohX00 2.40.20.10.9 X.1-165
1vlyA03 2.40.30.160.1 A.209-330
4l8jA02 2.40.30.170.1 A.19-32,166-246
1vf7F01 2.40.30.170.2 F.31-41,173-263
4kkuA02 2.40.30.170.3 A.36-53,126-212
3ne5C02 2.40.30.170.4 C.103-120,240-323
3lnnB01 2.40.30.170.5 B.39-54,205-283
3fppA01 2.40.30.170.6 A.13-29,192-278
4tkoB01 2.40.30.170.7 B.3-18,253-349
4dk0A02 2.40.30.170.8 A.20-30,195-292
4ii2A03 2.40.30.180.1 A.168-246
2v31A01 2.40.30.180.2 A.8-104
3hagA02 2.40.30.190.1 A.209-349
2x8kC01 2.40.30.200.1 C.8-137
4divV01 2.40.30.200.2 V.13-149
2wzpP01 2.40.30.210.1 P.29-61,88-163
1o67C00 2.40.33.20.2 C.7-235
4aibA01 2.40.37.10.21 A.5-33,263-386
3wqcA01 2.40.37.20.1 A.12-26,250-390
4v15A01 2.40.37.20.2 A.13-32,256-379
1cr5A01 2.40.40.20.21 A.5-81
1kqfA04 2.40.40.20.22 A.840-1015
2vpzA05 2.40.40.20.23 A.605-764
1y5iA04 2.40.40.20.24 A.1047-1237
3o2zP00 2.40.50.140.225 P.27-142
3o2zF00 2.40.50.140.226 F.69-145
1kxlA00 2.40.50.140.227 A.5-191
1twfB07 2.40.50.150.1 B.783-798,853-973
3woeA00 2.40.50.150.2 A.1-130
4c2mB07 2.40.50.150.3 B.731-746,801-910
4oelB00 2.40.50.170.1 B.2-70
1mhwC00 2.40.50.170.2 C.2-42
2qdlA02 2.40.50.180.1 A.32-98,140-155
1b3qA04 2.40.50.180.2 A.272-334
4jpbW02 2.40.50.180.3 W.33-100,141-151
1nnxA00 2.40.50.200.1 A.2-107
4jw0A00 2.40.50.220.1 A.1-95
5l37C00 2.40.50.220.2 C.1-86
2hd3A00 2.40.50.220.3 A.2-96
4uhvA04 2.40.50.230.1 A.352-454
3qr8A01 2.40.50.230.2 A.7-90
3pqiA01 2.40.50.230.3 A.24-125
2p5zX04 2.40.50.230.4 X.386-470
2jn4A00 2.40.50.240.1 A.22-87
3e3xA03 2.40.50.250.1 A.210-289,318-328
1wthA01 2.40.50.260.1 A.6-128
2g5dA03 2.40.50.270.1 A.148-209
1qwyA01 2.40.50.290.1 A.20-81
1z47A02 2.40.50.300.1 A.251-287,348-355
2qcpX01 2.40.50.320.1 X.6-80
3tdqB00 2.40.50.320.2 B.5-81
2l55A00 2.40.50.320.3 A.1-82
3go5A01 2.40.50.330.1 A.1-71
3a54A01 2.40.50.340.1 A.20-109
2c9oB02 2.40.50.360.1 B.119-244
2cqaA01 2.40.50.360.2 A.11-84
2k5dA01 2.40.50.390.1 A.2-110
2wkdA00 2.40.50.400.1 A.1-89
2f4iA02 2.40.50.420.1 A.41-107,147-194
3e0jA02 2.40.50.430.1 A.62-188
3fvqA02 2.40.50.450.1 A.243-286
2zxrA01 2.40.50.460.1 A.1-46,424-535
3fvqA03 2.40.50.470.1 A.287-349
3nppA00 2.40.50.480.1 A.1-87
2k5qA00 2.40.50.480.2 A.1-105
3k6oA01 2.40.50.500.1 A.14-86
3nqiA01 2.40.50.500.2 A.9-79
3k0yA01 2.40.50.500.3 A.10-83
3qwnD01 2.40.50.500.4 D.9-78
4pqxA01 2.40.50.500.5 A.8-80
3mxnA01 2.40.50.510.1 A.7-50,63-77,121-141
2z4iB02 2.40.50.540.1 B.125-214
1mppA01 2.40.70.10.37 A.6-186
4od9A00 2.40.70.10.38 A.7-103
1b5fB00 2.40.70.10.39 B.1-87
4l7gA02 2.40.70.10.40 A.155-394
1qdmA01 2.40.70.10.41 A.1-212
3mmlE02 2.40.100.10.16 E.174-293
3kopF01 2.40.100.20.1 F.21-185
2ddhA02 2.40.110.10.18 A.134-266
4rm7A02 2.40.110.10.19 A.124-241
3n91A02 2.40.128.420.1 A.176-311
3nbxX04 2.40.128.430.1 X.333-439
3p02A02 2.40.128.440.1 A.157-317
4qniA02 2.40.128.440.2 A.171-333
3oblA00 2.40.128.450.1 A.1-132
4pj2A00 2.40.128.460.1 A.4-124
3p24A01 2.40.128.470.1 A.33-185
4on1A01 2.40.128.470.2 A.15-168
4cv7A00 2.40.128.480.1 A.3-113
4iabB00 2.40.128.490.1 B.7-142
4hwmA00 2.40.128.500.1 A.7-123
4id2A00 2.40.128.510.1 A.25-160
4innA00 2.40.128.520.1 A.33-178
4jglA00 2.40.128.530.1 A.18-169
4kh8A02 2.40.128.540.1 A.174-318
4kh8A01 2.40.128.540.2 A.8-173
4lqzA00 2.40.128.570.1 A.13-143
4mveA00 2.40.128.580.1 A.5-151
4oy4A02 2.40.155.10.15 A.157-387
2a50B00 2.40.155.10.16 B.2-168
3tzgA00 2.40.160.150.1 A.7-251
4e1sA00 2.40.160.160.1 A.1-242
4fuvA00 2.40.160.170.1 A.13-225
4gf4A00 2.40.160.180.1 A.19-436
4ghbA00 2.40.160.190.1 A.15-272
1zxuA00 2.40.160.200.1 A.24-212
5c58A02 2.40.170.20.10 A.241-865
2hdiA02 2.40.170.20.11 A.139-639
3e4wA02 2.40.180.10.7 A.38-112,160-291
2g5dA02 2.40.240.50.2 A.124-147,210-318
3czbA02 2.40.240.50.3 A.87-247
2g6gA02 2.40.240.50.4 A.124-318
2w1kA00 2.40.260.10.12 A.4-212
3rccN00 2.40.260.10.13 N.10-154
3tixB01 2.40.290.20.1 B.13-160
3c0tA00 2.40.320.10.8 A.1-207
1yelA00 2.40.330.10.7 A.3-104
3oocA01 2.40.420.20.6 A.89-102,324-385
4a1iA02 2.40.440.10.5 A.49-165
3bmzA00 2.50.20.30.1 A.5-189
3oe7Q00 2.60.15.10.5 Q.11-136
1wktA00 2.60.20.20.1 A.1-88
1g6eA00 2.60.20.30.1 A.1-87
1f53A00 2.60.20.30.2 A.1-84
3sbtB01 2.60.34.20.1 B.1-143
3pohA01 2.60.40.1740.1 A.17-159
3p02A01 2.60.40.1740.2 A.4-156
4dqaA01 2.60.40.1740.3 A.7-138
3n91A01 2.60.40.1740.4 A.9-175,312-323
5jouA01 2.60.40.1760.1 A.18-214,357-397
5f7uA02 2.60.40.1760.2 A.116-341
5nn4A02 2.60.40.1760.3 A.49-280
3l4yA02 2.60.40.1760.4 A.46-283
4ba0A01 2.60.40.1760.5 A.35-235
2f2hA01 2.60.40.1760.6 A.1-245
6c9xA01 2.60.40.1760.7 A.1-156
4amwA01 2.60.40.1760.8 A.3-320
2g3mF01 2.60.40.1760.9 F.2-153
4m4pA02 2.60.40.1770.1 A.178-236
1opoA02 2.60.40.1780.1 A.246-348
1osyB00 2.60.40.1790.1 B.2-113
1r6vA01 2.60.40.1800.1 A.10-18,556-671
1xo8A00 2.60.40.1820.1 A.1-151
2f0cA02 2.60.40.1830.1 A.88-191
3da0A01 2.60.40.1830.2 A.30-133
6ea2A04 2.60.40.1840.1 A.455-550
3b34A04 2.60.40.1840.2 A.465-566
4qhpA04 2.60.40.1840.3 A.443-543
3qzmA00 2.60.40.1850.1 A.4-127
2o6pA00 2.60.40.1850.2 A.1-123
3rtlB00 2.60.40.1850.3 B.1-120
4h8qA00 2.60.40.1850.4 A.11-129
4fc3E00 2.60.40.1850.5 E.21-164
2q7aA00 2.60.40.1850.6 A.1-152
4ympA00 2.60.40.1850.7 A.12-130
4n2kA01 2.60.40.1860.1 A.24-142
5n0mA01 2.60.40.1860.2 A.10-125
6ce1A01 2.60.40.1860.3 A.24-142
4nn5B01 2.60.40.1870.1 B.20-112
3dtdD00 2.60.40.1880.1 D.24-168
3zjaA01 2.60.40.1890.1 A.20-125
2k6wA01 2.60.40.1890.2 A.6-119
1xhhA00 2.60.40.1900.1 A.1-91
6q4rA03 2.60.40.1910.1 A.505-587
4fytA03 2.60.40.1910.2 A.485-570
4kx7A03 2.60.40.1910.3 A.469-556
1z5hA03 2.60.40.1910.4 A.416-488
4wz9A03 2.60.40.1910.5 A.508-595
1zldA00 2.60.40.1920.1 A.2-118
4kh9B02 2.60.40.1930.1 B.41-47,161-266
3hrzA05 2.60.40.1930.2 A.421-521
2p9rA00 2.60.40.1930.3 A.1-102
5b71E00 2.60.40.1930.4 E.6-107
2a74A02 2.60.40.1930.5 A.107-207
3hrzA01 2.60.40.1930.6 A.1-104,583-614
2pn5A02 2.60.40.1930.7 A.100-200
2pn5A05 2.60.40.1930.8 A.398-493
3cu7A05 2.60.40.1930.9 A.460-565
2b39A01 2.60.40.1930.10 A.30-125
3cu7A02 2.60.40.1930.11 A.125-223
5jtwA05 2.60.40.1930.12 A.448-548,611-630
5jtwA01 2.60.40.1930.13 A.1-118,631-651
3hrzA03 2.60.40.1940.1 A.200-319
2pn5A03 2.60.40.1940.2 A.201-305
3cu7A03 2.60.40.1940.3 A.224-351
5jtwA03 2.60.40.1940.4 A.219-345
1yg9A01 2.60.40.1960.1 A.10-18,149-193,311-330
3qrlA00 2.60.40.1970.1 A.4-140
6hq0A00 2.60.40.1970.2 A.6-144
3rlsB00 2.60.40.1970.3 B.4-169
5iqlA00 2.60.40.1970.4 A.3-132
5nqzB01 2.60.40.1980.1 B.7-133
4z3tB01 2.60.40.1980.2 B.17-144
2wy3B00 2.60.40.1990.1 B.1-137
3ipfA01 2.60.40.2000.1 A.5-62
2x12A01 2.60.40.2010.1 A.147-336
3m86A00 2.60.40.2020.1 A.1-111
2nnrA00 2.60.40.2020.2 A.1-110
3pnrB00 2.60.40.2020.3 B.28-187
2c34A00 2.60.40.2020.4 A.1-116
2wgnB01 2.60.40.2020.5 B.36-132
2qvkA00 2.60.40.2030.1 A.4-192
3fq4B01 2.60.40.2030.2 B.4-123
3e9tB00 2.60.40.2030.3 B.1-113
3rb5A02 2.60.40.2030.4 A.123-261
2dpkA01 2.60.40.2030.5 A.10-141
4hjiA00 2.60.40.2040.1 A.22-175
2hb0B02 2.60.40.2040.2 B.178-355
2wb7A02 2.60.40.2050.1 A.37-127,160-223
3hn5A02 2.60.40.2060.1 A.101-215
4yokA02 2.60.40.2060.2 A.100-204
4iykA02 2.60.40.2060.3 A.108-225
4eiuA02 2.60.40.2060.4 A.113-249
4fxtA02 2.60.40.2060.5 A.96-202
2xetB00 2.60.40.2070.1 B.2-89
3l48A01 2.60.40.2070.2 A.11-86
2ccvA00 2.60.40.2080.1 A.1-99
2wn3A02 2.60.40.2080.2 A.156-254
3wmqA00 2.60.40.2080.3 A.1-94
4qdgA02 2.60.40.2090.1 A.150-176,199-306
3gf8A02 2.60.40.2090.2 A.149-176,199-296
3payB02 2.60.40.2090.3 B.155-181,205-312
4qdgA01 2.60.40.2100.1 A.7-149,177-198
3gf8A01 2.60.40.2100.2 A.13-148,177-198
2ww8A02 2.60.40.2110.1 A.146-213,592-721
2ra1A05 2.60.40.2120.1 A.327-412
3d34B01 2.60.40.2130.1 B.8-162,210-222
